1	o0000087		A	o0000087		a	_
2	o0000112	A2	A₂	o0000112	a2	a₂	_
3	o0000180	E2	E₂	o0000180	'a3	ʾa₃	_
4	o0000088		AB	o0000088		ab	_
5	o0000090	AB2	AB₂	o0000090	ab2	ab₂	ab₂ ap₂
6	o0000089		UNUG	o0000089	aba4	aba₄	_
7	o0000745		|AB×AŠ₂|	o0000745	abba2	abba₂	_
8	o0002137		|NUN.ME|	o0002137		abgal	_
9	o0002133		|NUN.ME.KA×GAN₂@t|	o0002133	abgal2	abgal₂	_
10	o0000102		APIN	o0000102	absin3	absin₃	absin₃ abšin₃
11	o0001680		|KA₂.GAL|	o0001680		abul	abul abulla abula
12	o0002674		|ZU.AB|	o0002674		abzu	abzu absu
13	o0000092		AD	o0000092		ad	_
14	o0000213	GIR2	GIR₂	o0000214	ad2	ad₂	ad₂ at₂
15	o0001928		|LU×BAD|	o0001928	ad3	ad₃	_
16			ZA@45	o0000604	ad4	ad₄	_
17	o0001967		KWU082	o0001967	ad6	ad₆	ad₆ at₆ adda
18	o0000440		KWU081	o0000440	ad7	ad₇	_
19	o0001957		KWU083	o0001957	ad8	ad₈	_
20	o0002508		|UD.NUN|	o0002508		adab	_
21	o0000715		|A.PA.GISAL.PAD.SI.A|	o0000715		addir	_
22	o0000214	GIR2	GIR₂@g	o0000214	addu3	addu₃	_
23	o0000093		AG	o0000093		ag	_
24	o0002109		|NINDA₂×NE|	o0002109	ag2	ag₂	ag₂ aŋ₂ aga₂ aka₂
25	o0000162		MIR	o0000162		aga	_
26	o0000161	GIN2	GIN₂	o0000161	aga3	aga₃	_
27	o0001817	SZARA2	ŠARA₂	o0001817	agar2	agar₂	_
28	o0001489		|IGI.DUB|	o0001489		agrig	agrig aŋrig
29	o0001149		|E₂.NUN|	o0001149		agrun	agrun agru₊(E₂.NUN) agruna₊(E₂.NUN)
30	o0001462		AH	o0001462		ah	_
31	o0000093		AG	o0000093		ak	_
32	o0000953		|DAG.(KISIM₅×GA)|	o0000953		akan	akan akani
33			|GAD.KID.SI|	o0001190		akkil	_
34	o0002500	UH2	UH₂	o0002500	akszak	akšak	_
35	o0000688		|A.KUŠU₂|	o0000688	akszak2	akšak₂	_
36	o0000721		|A.SU|	o0000721		aktum	_
37	o0002368		|SU.A|	o0002368	aktum2	aktum₂	_
38	o0038236		|A.ZU|	o0038236		aktumₓ	_
39	o0000094		AL	o0000094		al	al ala₃
40	o0000095		ALAM	o0000095	al2	al₂	_
41	o0000199	GAN2	GAN₂	o0000199	al3	al₃	_
42	o0002743	UMBISAG2	UMBISAG₂	o0002743		alal	_
43	o0002837	SZID	ŠID	o0002837	alal2	alal₂	_
44	o0002407	LAL3	LAL₃	o0002407	alamusz	alamuš	_
45	o0000095		ALAM	o0000095		alan	alan alam
46	o0001349		ALIM	o0001349		alim	alim alima
47	o0000473		NAGAR	o0000473		alla	_
48	o0001422		AM	o0001422		am	am ama₂
49	o0000655		|A.AN|	o0000655	am3	am₃	_
50	o0001310		|GA₂×KAK|	o0001310	am4	am₄	_
51	o0000099		AN	o0000099	am6	am₆	_
52	o0001286		AMA	o0001286		ama	_
53	o0001322	ARHUSZ	ARHUŠ	o0001322	ama5	ama₅	_
54	o0001799		|LAGAB×AN|	o0001799	ama6	ama₆	_
56	o0001278		|GA₂×AN.AN.MUŠ₃|	o0001278		amalu	_
57	o0000097		AMAR	o0000097		amar	_
58	o0000946	AMASZ	AMAŠ	o0000946	amasz	amaš	amaš amaša
59	o0001800		SUG	o0001800		ambar	ambar ambara anbar abbar
60	o0000851		|A×MUŠ|	o0000851	amusz	amuš	amuš amuša
61	o0000099		AN	o0000099		an	_
62	o0000101	ANSZE	ANŠE	o0000101	ansze	anše	anše anšu
63	o0000811		|AN.IM.DUGUD|	o0000811		anzu	_
64	o0000812		|AN.IM.MI|	o0000812	anzu2	anzu₂	_
65	o0018514		|IM.MI|			anzuₓ	_
66	o0000088		AB	o0000088		ap	_
67	o0000102		APIN	o0000102		apin	apin apina
68	o0000093		AG	o0000093		aq	_
69	o0001510		AR	o0001510		ar	_
70	o0000564		UB	o0000564	ar2	ar₂	ar₂ ara₂
71	o0001452		HAR	o0001452	ar3	ar₃	ar₃ ara₃
72	o0000103		ARAD	o0000103		arad	_
73	o0000843	ARAD2	ARAD₂	o0000843	arad2	arad₂	arad₂ ir₁₁ urda₂ urdu₂
74	o0037991		|LAM×KUR.RU|	o0001904		aratta	aratta arata
75	o0001322	ARHUSZ	ARHUŠ	o0001322	arhusz	arhuš	_
76	o0002245		AZ	o0002245		as	_
77	o0002245		AZ	o0002245	as,	aṣ	_
78	o0000110	ASZ2	AŠ₂	o0000110	as2	as₂	_
79	o0002566		ASARI	o0002566		asal	_
80	o0000723		|A.TU.GABA.LIŠ|	o0000723	asal2	asal₂	asal₂ asar₂ ašar₂
90			|TU.NUN&NUN|			asalₓ	_
91	o0002566		ASARI	o0002566		asar	_
92	o0001102		|EZEN×A|	o0001102	asila3	asila₃	_
94	o0000110	ASZ2	AŠ₂	o0000110	asz2	aš₂	_
95	o0000062	ASZ3	AŠ₃	o0000062	asz3	aš₃	aš₃ aša₃
96	o0002390	ASZ4	AŠ₄	o0002390	asz4	aš₄	_
97	o0002840	SZIR	ŠIR	o0002840	asz7	aš₇	_
98	o0000109	ASZGAB	AŠGAB	o0000109	aszgab	ašgab	_
99	o0002840	SZIR	ŠIR	o0000868	aszgi	ašgi	_
100		HIxDISZ	HIxDIŠ	o0002840	aszgi2	ašgi₂	_
101	o0002731		|ŠE.ŠE.NUN&NUN|	o0002731	asznan	ašnan	ašnan ašnana
102	o0000092		AD	o0000092		at	_
103	o0000092		AD	o0000092	at,	aṭ	_
104	o0002245		AZ	o0002245		az	_
106			|KU₃.AN|	o0001767		azag	azag asag azak
107	o0002422		|TUG₂.UD|	o0002422		azlag	_
108	o0000557	TUG2	TUG₂	o0000557	azlag2	azlag₂	azlag₂ azalag₂
109	o0001399		|GIŠ.TUG₂.PI.TE.A|	o0001399	azlag5	azlag₅	azlag₅ azalag₅
110	o0000113		BA	o0000113		ba	_
111	o0000497		PA	o0000497	ba2	ba₂	_
112	o0002471	ESZ	EŠ	o0002471	ba3	ba₃	_
113	o0000206	GA2	GA₂	o0000206	ba4	ba₄	_
114	o0000599	U2	U₂	o0000599	ba6	ba₆	_
115	o0000449	MASZ	MAŠ	o0000449	ba7	ba₇	_
116	o0000565		UD	o0000565		babbar	_
117	o0002512		|UD.UD|	o0002512	babbar2	babbar₂	_
118	o0001679		|KA₂.AN|	o0001679		babila	_
119	o0001678		|KA₂.AN.RA|	o0001678	babila2	babila₂	_
120	o0000982		|DIN.ŠE.NUN&NUN|	o0000982		babilaₓ	_
121	o0000114		BAD	o0000114		bad	bad bada bat pat₂ bata ba₉ pad₂
122	o0001104	BAD3	BAD₃	o0001104	bad3	bad₃	_
123	o0001005		|DUG.SILA₃.BUR|	o0000117	bahar2	bahar₂	_
124	o0002451		|U.EDIN|	o0002451	bahar3	bahar₃	_
125	o0000118		BAL	o0000118		bal	_
126	o0000118		BAL	o0000118		bala	_
127	o0000119		BALAG	o0000119		balag	balag balaŋ
128	o0000499		PAN	o0000499		ban	_
130	o0000560		TUR	o0000560	banda3	banda₃	_
131	o0002578	BANSZUR	BANŠUR	o0002578	banszur	banšur	banšur banšura panšur bansur
132	o0002752		|ŠIM×GAR|	o0002752		bappir	bappir bappira
133	o0002838	SZIM	ŠIM	o0002838	bappir2	bappir₂	bappir₂ bappira₂
134	o0000927		|BI×GAR|	o0000927	bappir3	bappir₃	bappir₃ bappira₃
135	o0000120		BAR	o0000120		bar	bar par₂ para₂ bara bare
136	o0000121	BARA2	BARA₂	o0000121	bar2	bar₂	_
137	o0000565		UD	o0000565	bar6	bar₆	_
138	o0000477		NE	o0000477	bar7	bar₇	_
139	o0000121	BARA2	BARA₂	o0000121	bara2	bara₂	_
140	o0000133		DAG	o0000133	bara3	bara₃	_
141	o0001104	BAD3	BAD₃	o0001104	bat3	bat₃	_
142	o0000247		IGI	o0000247	bat5	bat₅	_
143	o0000114		BAD	o0000114		be	_
144	o0000122		BI	o0000122	be2	be₂	_
145	o0000502		PI	o0000502	be6	be₆	_
146	o0000477		NE	o0000477	be7	be₇	_
147	o0000122		BI	o0000122		bi	_
148	o0000477		NE	o0000477	bi2	bi₂	_
149	o0000502		PI	o0000502	bi3	bi₃	_
150	o0000289		KU	o0000289	bi7	bi₇	bi₇ bed₃ bit₃ be₅ bid₃ bet₃
151	o0000477		NE	o0000477		bil	_
152	o0000478	BIL2	BIL₂	o0000478	bil2	bil₂	_
153	o0001383	BIL3	BIL₃	o0001383	bil3	bil₃	_
154	o0001384	BIL4	BIL₄	o0001384	bil4	bil₄	_
155	o0001464		BIR	o0001464		bir	bir pir₃ biri
156	o0000565		UD	o0000565	bir2	bir₂	_
157	o0000175		ERIM	o0032009	bir3	bir₃	_
158	o0000167		EDIN	o0000167	bir4	bir₄	_
159	o0000474		NAM	o0000474	bir5	bir₅	bir₅ pir₆
160	o0002752		|ŠIM×GAR|	o0002752		birₓ	_
161	o0000233		GIR	o0000233	bisz	biš	_
162	o0000180	E2	E₂	o0000180		bit	bit bid pid biti pit betu
163	o0000124		BU	o0000124		bu	_
164	o0002231	BULUG3	BULUG₃	o0002231	bu10	bu₁₀	_
165	o0001638	BUN2	BUN₂	o0001638	bu13	bu₁₃	_
166	o0000275		KASKAL	o0000275	bu2	bu₂	bu₂ buš
167	o0001626	PU3	PU₃	o0001626	bu3	bu₃	bu₃ bur₊(KA×GAN₂@t)
168	o0001838	TUL2	TUL₂	o0001838	bu4	bu₄	_
169	o0001788		BUL	o0001788	bu5	bu₅	_
170	o0000289		KU	o0000289	bu7	bu₇	_
171	o0001800		SUG	o0001800		bugin	bugin buniŋ bunin kunin₂ pugin₊(LAGAB×A)
172	o0001788		BUL	o0001788		bul	_
173	o0001832		ZAR	o0001832	bul5	bul₅	_
174	o0000128		BULUG	o0000128		bulug	_
175	o0002231	BULUG3	BULUG₃	o0002231	bulug3	bulug₃	_
176	o0000473		NAGAR	o0000473	bulug4	bulug₄	_
177	o0002752		|ŠIM×GAR|			bulugₓ	_
178	o0000119		BALAG	o0000119	bum2	bum₂	_
179	o0001818		BUN	o0001818		bun	_
