id	sign_name	sign_reading	preferred_reading	period_id	provenience_id	language_id	meaning
45	ALAM	alan	1	NULL	NULL	NULL	n. statue
46	ALIM	alim	1	NULL	NULL	NULL	n. bison
47	NAGAR	alla	1	NULL	NULL	NULL	dn.
48	AM	am	1	NULL	NULL	NULL	n. aurochs, masc.
49	|A.AN|	am3	1	NULL	NULL	NULL	v. copula 3rd sg.
50	|GA2xGAG|	am4	1	NULL	NULL	NULL	
51	AN	am6	1	NULL	NULL	NULL	v. copula 3rd sg.
52	AMA	ama	1	NULL	NULL	NULL	n. mother
53	ARHUSZ	ama5	1	NULL	NULL	NULL	n. mother?
54	|LAGABxAN|	ama6	1	NULL	NULL	NULL	n. mother
55	|AMA.AN.MUSZ3|	amalu	1	NULL	NULL	NULL	
56	|AMA.AN.MUSZ3|	amalu	1	NULL	NULL	NULL	n. calf, young animal 
57	AMAR	amar	1	NULL	NULL	NULL	n. calf, young animal 
58	AMASZ	amasz	1	NULL	NULL	NULL	n. sheepfold
59	SUG	ambar	1	NULL	NULL	NULL	n. swamp
60	|AxMUSZ|	amusz	1	NULL	NULL	NULL	
61	AN	an	1	NULL	NULL	NULL	n. sky, heaven; dn. An
62	ANSZE	ansze	1	NULL	NULL	NULL	n. donkey
63	|AN.IM.DUGUD|	anzu	1	NULL	NULL	NULL	n. thunderbird
64	|AN.IM.MI|	anzu2	1	NULL	NULL	NULL	n. thunderbird
65	|IM.MI|	anzux	1	NULL	NULL	NULL	n. thunderbird
66	AB	ap	1	NULL	NULL	NULL	n. window
67	APIN	apin	1	NULL	NULL	NULL	n. plow
68	AG	aq	1	NULL	NULL	NULL	
69	AR	ar	1	NULL	NULL	NULL	
70	UB	ar2	1	NULL	NULL	NULL	n. praise
71	HAR	ar3	1	NULL	NULL	NULL	v. to mill
72	ARAD	arad	1	NULL	NULL	NULL	n. servant
73	ARAD2	arad2	1	NULL	NULL	NULL	n. servant
74	|LAMxKUR.RU|	aratta	1	NULL	NULL	NULL	gn Aratta
75	ARHUSZ	arhusz	1	NULL	NULL	NULL	n. placenta?
76	AZ	as	1	NULL	NULL	NULL	
77	AZ	as,	1	NULL	NULL	NULL	
78	ASZ2	as2	1	NULL	NULL	NULL	phoneme
79	ASARI	asal	1	NULL	NULL	NULL	n. poplar?
80	|A.TU.GAB.LISZ|	asal2	1	NULL	NULL	NULL	n. poplar?
81	|A.GAB.LISZ.TU|	asalx	1	NULL	NULL	NULL	n. poplar?
82	|A.GISZ.TU.GAB.LISZ|	asalx	1	NULL	NULL	NULL	n. poplar?
83	|A.TU.GAB|	asalx	1	NULL	NULL	NULL	n. poplar?
84	|A.TU.LISZ|	asalx	1	NULL	NULL	NULL	n. poplar?
