o0001121	12378
o0001119	120B3
o0001118	120B4
o0001091	124AD
o0001092	124AE
o0001093	124AF
o0001095	124B0
o0001094	124B1
o0001097	124B2
o0001096	124B3
o0001098	124B4
o0000181	1245D
o0000182	1245E
o0000183	1245F
o0000184	12460
o0000185	12461
o0000186	12462
o0000187	120B5
o0000188	120B6
o0000206	120B7
o0001246	120B8
o0001249	120BA
o0001250	120BB
o0001286	120BC
o0021744	12379
o0001287	120BD
o0221935	1237A
o0001251	120BE
o0001288	120BF
o0001289	124B6
o0001252	120C0
o0001291	120C1
o0001253	120C2
o0001292	120C3
o0001295	120C4
o0001294	120C5
o0001293	124B7
o0001296	120C6
o0001254	124B8
o0001255	124B9
o0001297	120C7
o0001256	120C8
o0001299	120C9
o0001300	120CA
o0001301	124BA
o0001304	124BB
o0001302	120CB
o0001303	120CC
o0001258	124BC
o0001259	124BD
o0001305	120CD
o0001306	120CE
o0001261	120CF
o0001260	120D0
o0001263	120D1
o0001307	120D2
o0001264	120D3
o0001265	120D4
o0001308	120D5
o0001309	120D6
o0001266	120D7
o0001310	120D8
o0001311	120D9
o0001312	120DA
o0001267	120DB
o0001269	120DC
o0001268	124BF
o0001314	120DD
o0001313	124C0
o0001270	124C1
o0001315	124C2
o0001271	120DE
o0001316	120DF
o0001317	124C3
o0001318	124C4
o0001272	124C5
o0001273	124C6
o0001320	120E0
o0001319	120E1
o0001321	120E2
o0001322	120E3
o0001323	120E4
o0001324	120E8
o0001330	120E5
o0001276	120E6
o0001331	120E7
o0001332	124C7
o0001325	120E9
o0001327	120EA
o0001326	120EB
o0001275	120EC
o0001329	124C8
o0001244	120ED
o0000190	120EE
o0001181	120EF
o0000191	124C9
o0000193	120F0
o0001183	120F1
o0000194	120F2
o0001201	120F3
o0000195	120F4
o0000196	120F5
o0000197	120F6
o0000199	120F7
o0001217	120F9
o0001216	120FA
o0000201	120F8
o0000202	120FB
o0000204	120FC
o0000205	120FD
o0000209	1237B
o0000007	12415
o0000017	12416
o0000029	12417
o0000042	12418
o0000054	12419
o0000063	1241A
o0000071	1241B
o0000076	1241C
o0000084	1241D
o0000208	120FE
o0001333	120FF
o0001334	124CA
o0000006	1241E
o0000016	1241F
o0000028	12420
o0000041	12421
o0000053	12422
o0000210	12100
o0001358	12101
o0001360	12102
o0001335	12103
o0000219	12104
o0001409	12105
o0001408	12106
o0000211	12107
o0000212	1237C
o0000213	12108
o0000215	1210A
o0001349	1210B
o0001351	1210C
o0001352	1210D
o0001350	1210E
o0001353	1210F
o0000214	12109
o0000216	12110
o0000217	12111
o0001406	12113
o0001405	124CB
o0001407	12114
o0001363	12112
o0000218	12115
o0000221	12116
o0001412	12117
o0000230	12118
o0001429	124CC
o0001431	12119
o0001432	1211A
o0001433	1211B
o0001428	1211C
o0000231	1211D
o0000222	1211E
o0001418	124CD
o0001419	1211F
o0001422	12120
o0001414	12121
o0000224	12122
o0000225	12123
o0001424	12124
o0000226	12125
o0000229	12126
o0031987	12464
o0031991	12463
o0000227	12127
o0000228	12128
o0000232	12129
o0000233	1212B
o0000234	1212A
o0000235	124CE
o0000236	1212C
o0000237	1212D
o0001444	1237D
o0001447	1212E
o0000624	124CF
o0001452	1212F
o0001453	12130
o0001454	12131
o0001455	12132
o0001456	12133
o0001462	12134
o0001464	12135
o0000239	12137
o0000240	12138
o0001473	12139
o0001474	1213A
o0001475	1213B
o0001476	1213C
o0001477	1213D
o0000241	1213E
o0000242	1213F
o0001478	12140
o0000244	12141
o0000245	12142
o0001482	12143
o0000246	12145
o0000247	12146
o0001487	12147
o0001510	12148
o0001483	12149
o0000248	1214A
o0000249	1214B
o0001524	1214C
o0000252	1214D
o0000250	12446
o0000254	1214E
o0001548	12151
o0001549	1214F
o0001529	12150
o0000255	12153
o0000256	12154
o0000257	12155
o0000259	12156
o0000260	12157
o0001611	12158
o0001610	12159
o0001593	1215A
o0032019	1237E
o0001612	1215B
o0001613	1215C
o0001614	1215D
o0001616	1215F
o0001617	124D0
o0001608	1237F
o0032023	12385
o0001622	12161
o0001628	12162
o0001624	12163
o0001626	12164
o0001627	12165
o0001594	12166
o0001631	12167
o0001630	12168
o0001633	12380
o0001595	12169
o0001632	1216A
o0001635	1216B
o0027998	12381
o0001634	1216C
o0001636	12382
o0001638	1216E
o0001640	124D1
o0001639	1216F
o0001643	12170
o0001641	12171
o0001645	12172
o0001647	12173
o0001646	12383
o0001648	12174
o0001598	12175
o0001601	12176
o0001603	12177
o0001604	12179
o0001650	1217A
o0001651	1217B
o0001652	12384
o0001653	1217C
o0001654	1217D
o0001656	1217E
o0001655	1217F
o0001657	12184
o0001658	12185
o0001674	12181
o0001673	1252F
o0001675	12182
o0001676	12183
o0001659	12186
