Q87555542	U+12116
Q87555544	U+12117
Q87555547	U+12118
Q87555549	U+12119
Q87555551	U+1211A
Q87555552	U+1211B
Q87555554	U+1211C
Q87555556	U+1211D
Q87555559	U+1211E
Q87555560	U+1211F
Q87555563	U+12120
Q87555565	U+12121
Q87555566	U+12122
Q87555568	U+12123
Q87555571	U+12124
Q87555573	U+12125
Q87555575	U+12126
Q87555577	U+12127
Q87555579	U+12128
Q87555581	U+12129
Q87555583	U+1212A
Q87555585	U+1212B
Q87555588	U+1212C
Q87555589	U+1212D
Q87555592	U+1212E
Q87555594	U+1212F
Q87555597	U+12130
Q87555599	U+12131
Q87555601	U+12132
Q87555602	U+12133
Q87555604	U+12134
Q87555606	U+12135
Q87555609	U+12136
Q87555612	U+12137
Q87555613	U+12138
Q87555616	U+12139
Q87555618	U+1213A
Q87555620	U+1213B
Q87555622	U+1213C
Q87555624	U+1213D
Q87555626	U+1213E
Q87555628	U+1213F
Q87555630	U+12140
Q87555632	U+12141
Q87555633	U+12142
Q87555636	U+12143
Q87555638	U+12144
Q87555640	U+12145
Q87555641	U+12146
Q87555643	U+12147
Q87555645	U+12148
Q87555648	U+12149
Q87555649	U+1214A
Q87555651	U+1214B
Q87555654	U+1214C
Q87555655	U+1214D
Q87555658	U+1214E
Q87555660	U+1214F
Q87555663	U+12150
Q87555664	U+12151
Q87555667	U+12152
Q87555669	U+12153
Q87555671	U+12154
Q87555672	U+12155
Q87555674	U+12156
Q87555676	U+12157
Q87555678	U+12158
Q87555679	U+12159
Q87555681	U+1215A
Q87555683	U+1215B
Q87555684	U+1215C
Q87555686	U+1215D
Q87555688	U+1215E
Q87555690	U+1215F
Q87555691	U+12160
Q87555693	U+12161
Q87555695	U+12162
Q87555697	U+12163
Q87555699	U+12164
Q87555700	U+12165
Q87555702	U+12166
Q87555704	U+12167
Q87555705	U+12168
Q87555709	U+12169
Q87555712	U+1216A
Q87555714	U+1216B
Q87555716	U+1216C
Q87555718	U+1216D
Q87555719	U+1216E
Q87555722	U+1216F
Q87555724	U+12170
Q87555727	U+12171
Q87555730	U+12172
Q87555732	U+12173
Q87555734	U+12174
Q87555736	U+12175
Q87555739	U+12176
Q87555741	U+12177
Q87555742	U+12178
Q87555744	U+12179
Q87555747	U+1217A
Q87555749	U+1217B
Q87555752	U+1217C
Q87555754	U+1217D
Q87555756	U+1217E
Q87555757	U+1217F
Q87555759	U+12180
Q87555761	U+12181
Q87555762	U+12182
Q87555763	U+12183
Q87555764	U+12184
Q87555766	U+12185
Q87555768	U+12186
Q87555770	U+12187
Q87555772	U+12188
Q87555774	U+12189
Q87555776	U+1218A
Q87555777	U+1218B
Q87555779	U+1218C
Q87555781	U+1218D
Q87555784	U+1218E
Q87555785	U+1218F
Q87555788	U+12190
Q87555790	U+12191
Q87555792	U+12192
Q87555793	U+12193
Q87555795	U+12194
Q87555797	U+12195
Q87555799	U+12196
Q87555801	U+12197
Q87555802	U+12198
Q87555805	U+12199
Q87555807	U+1219A
Q87555809	U+1219B
Q87555811	U+1219C
Q87555813	U+1219D
Q87555814	U+1219E
Q87555817	U+1219F
Q87555819	U+121A0
Q87555821	U+121A1
Q87555823	U+121A2
Q87555826	U+121A3
Q87555828	U+121A4
Q87555831	U+121A5
Q87555835	U+121A6
Q87555836	U+121A7
Q87555841	U+121A8
Q87555843	U+121A9
Q87555846	U+121AA
Q87555847	U+121AB
Q87555850	U+121AC
Q87555853	U+121AD
Q87555856	U+121AE
Q87555859	U+121AF
Q87555860	U+121B0
Q87555863	U+121B1
Q87555865	U+121B2
Q87555867	U+121B3
Q87555868	U+121B4
Q87555871	U+121B5
Q87555874	U+121B6
Q87555876	U+121B7
Q87555879	U+121B8
Q87555881	U+121B9
Q87555885	U+121BA
Q87555886	U+121BB
Q87555888	U+121BC
Q87555891	U+121BD
Q87555894	U+121BE
Q87555896	U+121BF
Q87555898	U+121C0
Q87555900	U+121C1
Q87555901	U+121C2
Q87555903	U+121C3
Q87555905	U+121C4
Q87555908	U+121C5
Q87555910	U+121C6
Q87555911	U+121C7
Q87555913	U+121C8
Q87555914	U+121C9
Q87555917	U+121CA
Q87555919	U+121CB
Q87555922	U+121CC
Q87555923	U+121CD
Q87555925	U+121CE
Q87555928	U+121CF
Q87555931	U+121D0
Q87555934	U+121D1
Q87555935	U+121D2
Q87555938	U+121D3
Q87555940	U+121D4
Q87555942	U+121D5
Q87555944	U+121D6
Q87555946	U+121D7
Q87555948	U+121D8
Q87555950	U+121D9
Q87555952	U+121DA
Q87555953	U+121DB
Q87555956	U+121DC
Q87555958	U+121DD
