id	sign_name	sign_reading	preferred_reading	period	provenience	language	meaning
141	BAD3	bat3	1				
142	IGI	bat5	1				
143	BAD	be	1				
144	BI	be2	1				
145	PI	be6	1				
146	NE	be7	1				
147	BI	bi	1				"poss. suffix neutral"
148	NE	bi2	1				"verbal prefix"
149	PI	bi3	1				
150	KU	bi7	1				"n. dung, excrements"
151	NE	bil	1				"v. to burn; to roast"
152	BIL2	bil2	1				"v. to heat, to burn"
153	BIL3	bil3	1				"v. to sprout, shoot "
154	BIL4	bil4	1				
155	BIR	bir	1				"to scatter, mix"
156	UD	bir2	1				"adj. shreviled; v. to wrinkle"
157	ERIM	bir3	1				"n. yoke, team"
158	EDIN	bir4	1				
159	NAM	bir5	1				"n. locust; adj. luminosity; ; v. to shine"
160	|SZIMxNIG2|	birx	1				
161	GIR	bisz	1				
162	E2	bit	1				
163	BU	bu	1				"v. to tear out"
164	BULUG3	bu10	1				"n. a wooden object"
165	BUN2	bu13	1				
166	KASKAL	bu2	1				
167	PU3	bu3	1				
168	TUL2	bu4	1				
169	BUL	bu5	1				"to rush around (cf., bul)."
170	KU	bu7	1				
171	SUG	bugin	1				"n. bucket, trough"
172	BUL	bul	1				
173	ZAR	bul5	1				"n. a kind of fish"
174	BULUG	bulug	1				"n. chisel, needle, latch"
175	BULUG3	bulug3	1				"n. pupil, novice, foster child "
176	NAGAR	bulug4	1				"n. chisel, needle, latch"
177	|SZIMxNIG2|	bulugx	1				"n. brewer"
178	BALAG	bum2	1				
179	BUN	bun	1				
180	BUN2	bun2	1				
181	BUR	bur	1				"n. stone bowl"
182	BUR2	bur2	1				"v. to dissolve, resolve"
183	U	bur3	1				"tt. 18 iku; n. hole, depth; v. to pierce"
184	|UD.KIB.NUN|	buranun	1				"gn. Euphrates river"
185	|UD.NUN.KIB|	buranunx	1				"gn. Euphrates river"
186	BURU14	buru14	1				"n. harvest"
187	|SZIR.BUR|	buru4	1				"n. swarming birds or insects"
188	BURU5	buru5	1				"n. sparrow"
189	TUL2	burx	1				
190	DA	da	1				"n. arm, side; postposition commitative"
191	GAG	da3	1				
192	URUDU	da5	1				"vi. commitative"
193	TAG	da6	1				
194	DIB	dab	1				
195	KU	dab5	1				"v. to grasp, tt. to assume administrative control"
196	URUDU	dab6	1				"vi. commitative neutral"
197	|SZE3.SZE|	dabin	1				"n. flour"
198	|LAGABx(BAD&BAD)|	dabx	1				
199	|LAGABxGU4|	dabx	1				
200	U8	dabx	1				
201	|UD.UD|	dadag	1				"adj. shining"
202	DAG	dag	1				"n. resting-place, dwelling; v. to roam about"
203	UD	dag2	1				"adj. shining"
204	KIB	dag3	1				
205	AMA	dagal	1				"n. width, breadth; v. to widen, enlarge; adj. wide, broad"
206	KWU844	dagx	1				"n. resting-place, dwelling; v. to roam about"
207	DAH	dah	1				"v. to add"
208	RI	dal	1				"v., to fly"
209	|IGI.GAG|	dala2	1				"n. spear; arrow head"
210	IDIGNA	dalla	1				"n. beam, ray; v. to be or make bright, to shine"
211	DAM	dam	1				"spouse (husband or wife)"
212	KAL	dan	1				
213	|GA2xKID2|	dan3	1				
214	|USZxKID2|	dan6	1				"v. to clean"
215	|KASKAL.BU|	danna	1				"n. road; tt. 1800 ninda"
216	DAR	dar	1				"n., black francolin?; v. to split"
217	IB	dara2	1				"n. string of fish; girdle"
218	DAR3	dara3	1				"n. ibex"
219	DARA4	dara4	1				"adj. red"
220	DI	de	1				
221	DE2	de2	1				"v. to pour"
222	NE	de3	1				"n. torch, ashes"
223	TE	de4	1				
224	RI	de5	1				
225	DU	de6	1				"v. (hamtu) to transport"
226	TI	de9	1				
227	BAD	dehi	1				
228	DI	di	1				"n. lawsuit, case; judgment, decision, verdict; v. to judge, decide, maru, non-finite of du11 to speak"
229	HI	di2	1				
230	TI	di3	1				
231	TUR	di4	1				
232	DIB	dib	1				"v. to cross by"
233	|LAGABx(DISZ+(BAD&BAD))|	dibx	1				"v. to cross by"
234	|U2.SA|	dida	1				"n. a type of beer, beer ingredient"
235	|USZ.SA|	dida2	1				"n. a type of beer, beer ingredient"
236	|ASZ.ASZ|	didli	1				"adj. assorted, various; separate, individual, single"
237	UM	dih2	1				
238	NIM	dih3	1				"n. camel thorn"
239	ASZ	dil	1				"adj. single"
240	ASZ	dili	1				
241	LISZ	dili2	1				"n. spoon"
242	DILMUN	dilmun	1				"gn. Dilmun"
243	DIM	dim	1				"n. a vessel?"
244	GIM	dim2	1				"v. to build, to create"
245	DIM3	dim3	1				
246	BULUG3	dim4	1				
247	DIN	din	1				"n. grape"
248	AN	dingir	1				"n. deity"
249	DIR	dir	1				
250	DIR	diri	1				"n. excess, surplus; v. to go beyond, tt. surplus"
251	DISZ	disz	1				"n. one"
252	DU	du	1				"v. to go (maru)"
253	HI	du10	1				"adj. sweet; v. to be sweet"
254	KA	du11	1				"v. to speak (hamtu)"
255	TUK	du12	1				"v. to sing"
256	TU	du2	1				"v. to give birth"
257	GAG	du3	1				"v. to construct"
258	|GIN2@n|	du5	1				
259	DU6	du6	1				"v. to cover"
260	UL	du7	1				"to be complete, to be fitting, to butt"
261	GAB	du8	1				"v. release"
262	DUB	dub	1				"n. (clay) tablet, document; v. to heap up"
263	DUB2	dub2	1				"v. to tremble"
264	HI	dub3	1				
265	DUG	dug	1				"n. pot, tt. liquid capacity vessel"
266	DUGUD	dugud	1				"n. weight, cloud; adj. heavy"
267	GAB	duh	1				"n. bran, dregs"
268	DUL	dul	1				"n. tell"
269	DUL3	dul3	1				
270	DUN4	dul4	1				
271	TUG5	dul5	1				
272	UR@s	dul9	1				
273	UR	dulx	1				
274	TUM	dum	1				
275	TUR	dumu	1				"n. child"
276	SZUL	dun	1				"adj. branded ?, sunordinate ?"
277	DUN4	dun4	1				
278	DUR	dur	1				"n. rope"
279	SZEN	dur10	1				"n. a type of axe"
280	KU	dur2	1				"v. to sit; n. seat"
281	|ANSZE.ARAD|	dur3	1				"n. donkey stallion"
282	SZUL	dur9	1				"n. donkey stallion"
283	A	duru5	1				"adj. wet, moist"
284	|KU.KU|	durunx	1				"v. to sit"
285	U3	durux	1				"n. bridge"
286	IL2	dusu	1				"n. standardized work basket"
287	|ANSZE.LIBIR|	dusu2	1				"n. type of donkey"
288	GIN2	dux	1				
289	KWU858	dux	1				"n. a container"
290	E	e	1				"n. dike"
291	|DU6.DU|	e11	1				"v. to go down, out"
292	E2	e2	1				"n. house(hold)"
293	|UD.DU|	e3	1				"v. to go up, out"
294	IB	eb	1				"n. (temple) oval"
295	TUM	eb2	1				"n. gurtle, belt"
296	|EN.TI|	ebih	1				"gn. Ebih"
297	|SZE3.MAH|	ebih2	1				"gn. Ebih?; n.  heavy rope"
298	A2	ed	1				
299	EDIN	edin	1				"n. steppe"
300	SZE3	egi	1				
301	|MUNUS.SZE3|	egi2	1				
302	EGIR	egir	1				"adj. after, back, behind"
303	SZE3	egir2	1				
304	EGI2	egir3	1				
305	MURGU	egir5	1				"adj. after, back, behind"
306	SIG4	egir6	1				"adj. after, back, behind"
307	KWU733	egirx	1				"adj. after, back, behind"
308	AH	eh	1				"n. louse"
309	EL	el	1				
310	|ILxKAR2|	el4	1				
311	NIM	elam	1				"gn. Elam"
312	BIR	ellag2	1				"n. kidneys"
313	IM	em	1				
314	EME	eme	1				"n. tongue, speech, plow's share"
315	|MUNUS.ANSZE|	eme3	1				"n. female donkey"
316	AMA	eme4	1				
317	|MUNUS.HUB2|	eme5	1				"n. female donkey"
318	|ANSZE.MUNUS|	eme6	1				"n. female donkey"
319	|UD.MUNUS.HUB2|	emerah	1				"n. female donkey"
320	EN	en	1				"n. lord"
321	EN2	en2	1				"n. incantation"
322	LI	en3	1				
323	IN	en6	1				
324	SZA	en8	1				"abbreviation of en3"
325	APIN	engar	1				"n. cultivator"
326	|EN.ME.GI|	engiz	1				"n. a type of cook?"
327	|EN.GI|	engizx	1				"n. a type of cook?"
328	ENGUR	engur	1				"n. freshwater"
329	|ZAG.HA|	enku	1				
330	|EN.ME.LI|	ensi	1				"n. deviner, dream interpreter"
331	|PA.TE.SI|	ensi2	1				"n. governor"
332	|(ENxME).LI|	ensi3	1				"n. deviner, dream interpreter"
333	IB	ep	1				
334	SIG	epig	1				"n. vessel for water for animals"
335	DUG	epir	1				
336	BI	epir2	1				
337	IG	eq	1				
338	IR	er	1				
339	ARAD2	er11	1				"n. servant"
340	|A.IGI|	er2	1				"n. tears"
341	ARAD	er3	1				"n. servant"
342	GIR3	er9	1				
343	UNUG	eri11	1				
344	NUN	eridu	1				"gn. Eridu"
345	|NE.RU|	erim2	1				"n. oath"
346	ERIM4	erim4	1				
347	EREN	erin	1				"n. cedar"
348	ERIM	erin2	1				"n. troop of workmen or soldiers"
349	KWU896	erinx	1				
350	NIN	erisz	1				"n. emesal lady"
351	NAGA	erisz2	1				gn.
352	GISZ	es	1				
353	ESZ	es2	1				
354	ISZ	es2	1				
355	AB	es3	1				
356	KAL	esi	1				"n. ebony"
357	|LAGAB.KUL|	esir	1				
358	ESIR2	esir2	1				"n. bitumen"
359	ESZ	esz	1				"adj. three; v. pl. marker"
360	|GE23(ASZ@t)|	esz18	1				
361	SZE3	esz2	1				"n. rope; tt. metrological unit (length) 10 ninda"
362	AB	esz3	1				"n. shrine, temple"
363	DISZ	esz4	1				
364	ESZ5	esz5	1				
365	KASKAL	esz8	1				
366	|A.TIR|	esza	1				"n. type of grain"
367	ESZ5	esza5	1				
368	BAD	esze3	1				"tt. area measurement = 6 iku"
369	GU4	esztub	1				"n. type of fish"
370	GISZ	ez	1				
371	EZEN	ezem	1				"n. festival"
372	GA	ga	1				"n. milk; vp. cohortative"
373	GA2	ga2	1				"n. box, basket"
374	GAN3	ga3	1				
375	IL2	ga6	1				"v. to transport"
376	GAB	gab	1				"n. breast, chest, side"
377	KAB	gab2	1				
378	NAG	gab3	1				"v. to check"
379	GAB	gaba	1				"n. breast, chest, side"
