id	sign_name	sign_reading	preferred_reading	period	provenience	language	meaning
1317	MUSZ2	tiszpak	1				"dn. Tishpak"
1318	BARA2.MUNU5	titab	1				"dn. Tishpak"
1319	TU	tu	1				"v. to bear, to create; n. pigeon"
1320	HUB	tu10	1				
1321	HUB2	tu11	1				
1322	|A.SZU.NAGA|	tu17	1				"v. to wash"
1323	UD	tu2	1				
1324	DU	tu3	1				
1325	TUM	tu4	1				
1326	|SZU.NAGA|	tu5	1				"v. to wash"
1327	TU6	tu6	1				"n. exorcism, conjuration, exorcistic formula"
1328	KAM	tu7	1				"n. soup"
1329	TUG2	tug2	1				"n. cloth, garnment"
1330	BUL	tuk4	1				#NAME!
1331	TUK	tuku	1				"v. to have"
1332	TAG	tuku5	1				
1333	KU	tukul	1				"n. a weapon"
1334	|SZU.NIG2.TUR.LAL|	tukum	1				"irrealis particle, if"
1335	|SZU.LAL.TUR|	tukumx	1				"irrealis particle, if"
1336	|SZU.NIG2.TUR|	tukumx	1				"irrealis particle, if"
1337	|SZU.NIG2|	tukumx	1				"irrealis particle, if"
1338	|SZU.TUR|	tukumx	1				"irrealis particle, if"
1339	|KAxSZE|	tukur2	1				P107420
1340	TUL2	tul2	1				"n. public fountain"
1341	TUM	tum	1				
1342	DU	tum2	1				"v. to be fitting"
1343	TUM3	tum3	1				"v. to carry (maru)"
1344	HUB	tun	1				"v. to carry (maru)"
1345	TUR	tur	1				"v. to be/make small; adj., small, little, young."
1346	DUR	tur2	1				
1347	TUR3	tur3	1				"n. (cattle) pen"
1348	KU	tusz	1				"v. to sit (sg. hamtu)"
1349	U	u	1				"adj. ten"
1350	GISZGAL	u18	1				"n. humans"
1351	U2	u2	1				"n. plant, food"
1352	U3	u3	1				"vp. prospective; conj. and"
1353	UD	u4	1				"n. day, storm"
1354	U5	u5	1				"n. wild goose; v. to mount, to ride; to board (a boat)"
1355	U6	u6	1				"n. awe"
1356	U8	u8	1				"n. ewe"
1357	BAD3	u9	1				
1358	UB	ub	1				"n. corner, angle"
1359	SZE3	ub2	1				
1360	KIR2	ub3	1				"n. drum"
1361	UB5	ub5	1				
1362	UBARA	ubara	1				
1363	GALAM	ubi	1				"n. a type of fish"
1364	|DAG.(KISIM5xGA)|	ubur	1				"n. female breast, udder"
1365	|DAG.(KISIM5xIR)|	ubur3	1				"n. female breast, udder"
1366	|DAG.KISIM5x(LU.MASZ2)|	uburx	1				"n. female breast, udder"
1367	UD	ud	1				
1368	UZ3	ud5	1				"n. nanny goat"
1369	ASZ2	udru	1				"n. month name, Nippur"
1370	ASZ2	udru	1				"n. in month name, old ziz2-a"
1371	LU	udu	1				"n. sheep, small cattle"
1372	UDUG	udug	1				
1373	SZITA3	udug2	1				
1374	KAM	udul2	1				" n. bowl"
1375	UTUL5	udul5	1				
1376	GAN	udul7	1				
1377	UDUN	udun	1				
1378	UG	ug	1				
1379	GIR3	ug2	1				
1380	UN	ug3	1				"n. people"
1381	BAD3	ug5	1				"v. to die"
1382	BAD	ug7	1				"v. to die"
1383	|KI.SU.LU.SZE3.NIG2|	ugnim	1				"n. army, campaign, military camp"
1384	|KI.LU.SZE3|	ugnimx	1				"n. army, campaign, military camp"
1385	|KI.SU.LU.KI.NIG2|	ugnimx	1				"n. army, campaign, military camp"
1386	|KI.SU.LU.NIG2|	ugnimx	1				"n. army, campaign, military camp"
1387	|KI.SU.LU.SZE3.NIG2.RA|	ugnimx	1				"n. army, campaign, military camp"
1388	|KI.SU.LU.SZE3.NIG2|	ugnimx	1				"n. army, campaign, military camp"
1389	|KI.SU.LU.SZE3|	ugnimx	1				"n. army, campaign, military camp"
1390	|KI.SU.LU.SZU.NIG2|	ugnimx	1				"n. army, campaign, military camp"
1391	|KI.SU.NIG2.RA|	ugnimx	1				"n. army, campaign, military camp"
1392	|KI.SU.ZA.LU.SZE3|	ugnimx	1				"n. army, campaign, military camp"
1393	|LU.SZE3.NIG2.KI|	ugnimx	1				"n. army, campaign, military camp"
1394	|SU.KI.LU.SZE3.KI|	ugnimx	1				"n. army, campaign, military camp"
1395	|SU.KU.SZE3.KI.NIG2.RA|	ugnimx	1				"n. army, campaign, military camp"
1396	|SU.LU.SU.KI.NIG2|	ugnimx	1				"n. army, campaign, military camp"
1397	UGU	ugu	1				"n. top"
1398	|A.KA|	ugu2	1				"n. top, forehead; tt. debits (said of an account)"
1399	|A.SAG|	ugu3	1				
1400	KU	ugu4	1				
1401	PA	ugula	1				"n. overseer"
1402	SIG7	ugur2	1				
1403	AH	uh	1				
1404	UH2	uh2	1				
1405	KUSZU2	uh3	1				"n. a type of beast"
1406	UG	uk	1				
1407	UKKEN	ukken	1				"n. assembly"
1408	|LAL2.DU|	uku2	1				"n. poor person"
1409	HUL2	ukusz2	1				"n. cucumber"
1410	UL	ul	1				"n. flower; adj., remote, distant"
1411	NU	ul2	1				
1412	KIB	ul3	1				
1413	GIR2@g	ul4	1				"v. to be quick; adj. quick"
1414	GISZGAL	ulu3	1				"NOTE u18"
1415	|BI.ASZ2|	uluszinx	1				"n. emmer beer"
1416	UM	um	1				
1417	UMBIN	umbin	1				"n. nail, claw, talon, hoof"
1418	|GISZ.KUSZU2|	umma	1				"gn. Umma"
1419	|UB.ME|	umma2	1				"gn. Umma"
1420	|UM.ME|	ummeda	1				"n. wet-nurse"
1421	|A.EDIN.A.LAL|	ummu	1				"n. waterskin"
1422	|A.EDIN.LAL|	ummu3	1				"n. waterskin"
1423	|A.EDIN|	ummux	1				"n. waterskin"
1424	|A.U.EDIN.LAL|	ummux	1				"n. waterskin"
1425	|EDIN.A.LAL|	ummux	1				"n. waterskin"
1426	|EDIN.A|	ummux	1				"n. waterskin"
1427	|EDIN.LAL.A|	ummux	1				"n. waterskin"
1428	|EDIN.LAL|	ummux	1				
1429	|EDIN.NA.A.LAL|	ummux	1				"n. waterskin"
1430	TUG2	umusz	1				
1431	UN	un	1				
1432	UNUG	unu	1				"gn. Uruk"
1433	|TE.UNUG|	unu2	1				
1434	|AB2.KU|	unu3	1				"n. cow herd"
1435	|TE.AB|	unu6	1				"n. chamber?"
1436	HAR	unux	1				
1437	TE	unux	1				
1438	|TE.MUSZ3|	unux	1				
1439	UB	up	1				
1440	UG	uq	1				"n. lion"
1441	UR	ur	1				"n. dog, carnivorous beast, servant"
1442	UR2	ur2	1				"n. floor, base, lap, thighs"
1443	UR3	ur3	1				"n. beam, roof"
1444	UR4	ur4	1				"n. scythe; v. to pluck (wool)"
1445	HAR	ur5	1				"n. debt, interest"
1446	URI	uri	1				"gn. Akkad"
1447	|SZESZ.UNUG|	uri2	1				"gn. Ur"
1448	SZESZ	uri3	1				
1449	|SZESZ.AB|	uri5	1				"gn. Ur"
1450	IB	urta	1				
1451	|URUxKAR2|	uru11	1				"gn. Urub"
1452	UR3	uru12	1				
1453	EN	uru16	1				"adj. princely"
1454	URU2	uru2	1				
1455	APIN	uru4	1				"v. to plow "
1456	GUR8	uru5	1				
1457	|URUxA|	urua	1				"gn. Urua"
1458	URUDU	uruda	1				"n. copper"
1459	|UR2xU2.ASZ|	urum2	1				"gn. Urum"
1460	|UR2x(A.HA)|	urumx	1				"gn. Urum"
1461	|UR2xHA|	urumx	1				"gn. Urum"
1462	|UR2xU2|	urumx	1				"gn. Urum"
1463	|DUG.SILA3.BUR|	urx	1				"n. potter"
1464	UZ	us	1				
1465	USZ	us2	1				"v. to lean agains, to follow"
1466	USAN	usan	1				"n. whip,  dawn(?)"
1467	USAN2	usan2	1				"n. whip,  dawn(?)"
1468	USAN3	usan3	1				"n. whip"
1469	USZ	usz	1				
1470	|KAxBAD|	usz11	1				
1471	BAD	usz2	1				"v. to die; tt. to die (said of animals, slaughtered)"
1472	BUR2	uszum	1				"n. a (mythological animal) snake"
1473	|GAL.BUR2|	uszumgal	1				
1474	BUR2@g	uszumx	1				"n. a (mythological animal) snake"
1475	|LAL2.SAR|	uszur	1				
1476	|LAL.SAR|	uszur2	1				
1477	|LAL2.LAGAB|	uszur3	1				
1478	|LAL.LAGAB|	uszur4	1				
1479	|LAL.TUG2|	uszurx	1				
1480	|LAL2.TUG2|	uszurx	1				
1481	UD	ut	1				
1482	UD	utu	1				"dn. Utu"
1483	UTU2	utu2	1				
1484	UTUL12	utul12	1				
1485	UZ	uz	1				"n. duck"
1486	UZ3	uz3	1				"n. nanny goat"
1487	UZU	uzu	1				"n. flesh"
1488	|KAxU2|	uzug5	1				
1489	PI	wa	1				
1490	PI	we	1				
1491	PI	wi	1				
1492	PI	wu	1				
1493	X	x	1				
1494	ZA	za	1				
1495	ZAG	za3	1				"n. side, edge"
1496	|ZA.MUSZ2.UNUG|	zabala	1				"gn. Zabalam"
1497	|ZA.MUSZ3.UNUG|	zabala2	1				"gn. Zabalam"
1498	|MUSZ3.UNUG|	zabala3	1				"gn. Zabalam"
1499	|MUSZ3.ZA.UNUG|	zabala4	1				"gn. Zabalam"
1500	|MUSZ3.AB|	zabala5	1				"gn. Zabalam"
1501	|AB.MUSZ3|	zabala6	1				"gn. Zabalam"
1502	|AN.MUSZ3.AB|	zabalax	1				"gn. Zabalam"
1503	|AN.MUSZ3.UNUG|	zabalax	1				"gn. Zabalam"
1504	|MUSZ3.TE.UNUG|	zabalax	1				"gn. Zabalam"
1505	|MUSZ3.UNUG.ZA|	zabalax	1				"gn. Zabalam"
1506	|UNUG.MUSZ3.ZA|	zabalax	1				"gn. Zabalam"
1507	|UD.KA.BAR|	zabar	1				"n. bronze"
1508	|(KAxUD).BAR|	zabar3	1				"n. bronze"
1509	ZADIM	zadim	1				"n. stone cutter?"
1510	SZID	zag3	1				
1511	NE	zah	1				
1512	|HA.A|	zah2	1				"v. to flee, escape"
1513	HA	zah3	1				
1514	ZAH3	zah3	1				
1515	NI	zal	1				"v. to pass, to flow"
1516	UD	zalag	1				"adj. pure, bright"
1517	ERIM	zalag2	1				"adj. pure, bright"
1518	ZAG	zaq	1				
1519	ZAR	zar	1				
1520	SUM	zar3	1				"n. sheaf"
1521	ZI	ze	1				
1522	ZI2	ze2	1				
1523	SIG7	zex	1				
1524	ZI	zi	1				"n. breath (of life), throat, soul; v. (with r-auslaut) to destroy; (with g-auslaut) to rise; (with d-auslaut) to be faithful, true"
1525	ZI2	zi2	1				"n. stench, bile; adj. bitter"
1526	SZE3	zi3	1				"n. flour"
1527	|KI.NE|	zi7	1				
1528	ZIB	zib	1				
1529	ENGUR	zigum	1				
1530	ENGUR	zikum	1				
1531	|UD.KIB.NUN|	zimbir	1				"gn. Sippar"
1532	|UD.NUN.KIB|	zimbirx	1				"gn. Sippar"
1533	|EN.NUNUZ.ZI.AN.SZESZ.KI|	zirru	1				
1534	ASZ2	ziz2	1				"n. emmer"
1535	|TAG.TAG|	ziz5	1				
1536	ZU	zu	1				"v. to know; ps. 2nd person"
1537	KA	zu2	1				"n. tooth"
1538	GAM3	zubi	1				"gn. river"
1539	KA	zuh	1				"v. to steal"
1540	ZUM	zum	1				
1541	AMAR	zur	1				
1542	|A.MUSZ3|		1				
1543	|AB@g|		1				
1544	|AB2x(BI.ME)|		1				
1545	|AB2xUD|		1				
1546	|AB2xX|		1				
1547	|ABxNUN|		1				
1548	|ABxU|		1				
1549	|ABxX|		1				
1550	|(AH.AH)&(AH.HI)|		1				
1551	|AMA.GAN|		1				"n. a female equid"
1552	|AxMUSZ3|		1				
1553	|BAD&BAD|		1				
1554	|BAD3.AN|		1				"gn. “BAD.AN”"
1555	|BIxPAP|		1				
1556	CDLS001		1				
1557	|E2xGAN2|		1				"n. house(hold)"
1558	|E2xU|		1				
1559	|E2xUD|		1				"n. house(hold)"
1560	|ENxX|		1				
1561	|EZENxKAR2|		1				
1562	|EZENxX|		1				
1563	|GA2@s|		1				
1564	|GA2xBU|		1				
1565	|GA2xGIR3|		1				"n. reed basket"
1566	|GA2xME|		1				
1567	|GA2xSIG7|		1				"n. dais ?"
1568	|GA2xX|		1				
1569	|GAxU|		1				
1570	|GAxX|		1				
1571	GIR2@g		1				"n. beer vessel"
1572	|GIR3@s|		1				
1573	|GISZ.xLU2|		1				
1574	|GISZ.xSZU|		1				
1575	|GISZ.xX|		1				
1576	|GISZxSZU|		1				
1577	|GU2xESZ|		1				
1578	|GU4xSZE|		1				
1579	HA@t		1				"n. a domesticated animal"
1580	|HIxDISZ|		1				
1581	|HIxSAR|		1				
1582	|HIxU.NE|		1				
1583	|HIxU|		1				
1584	|HIxX|		1				
1585	|IMxKAR2|		1				
1586	|ISIM5xGUG2|		1				
1587	KAD3		1				
1588	|KAL.KAL|		1				
1589	|KAMxU|		1				
1590	|KAxX|		1				
1591	|KI.AN|		1				"n. threshing floor"
1592	|KI.KAL|		1				"sassatu grass"
1593	KIB@s		1				"n. a metal pot; adj. clean, pure"
1594	|KINxUD|		1				
1595	|KIR2&KIR2|		1				
1596	KISIM5		1				
1597	|KISIM5x(TUG2.HI)|		1				
1598	|KISIM5xBI|		1				
1599	|KISIM5xGA|		1				"n. female breast, udder"
1600	|KISIM5xGAG|		1				
1601	|KISIM5xGUG2|		1				
1602	|KISIM5xIR|		1				"n. female breast, udder"
1603	|KISIM5xNE|		1				
1604	|KISIM5xX|		1				
1605	|KU.GUL|		1				"n. a plant"
1606	|KUxNIG2|		1				
1607	|KUxX|		1				
1608	KWU161		1				
1609	KWU173		1				
1610	KWU276		1				
1611	KWU289		1				
1612	KWU318		1				
1613	KWU422		1				
1614	KWU435		1				
1615	KWU442		1				
1616	KWU443		1				
1617	KWU453		1				
1618	KWU474		1				
1619	KWU475		1				
1620	|KWU475xBI|		1				
1621	KWU491		1				
1622	KWU518		1				
1623	KWU543		1				
1624	KWU544		1				
1625	KWU713		1				
1626	KWU715		1				
1627	KWU729		1				
1628	KWU733		1				
1629	KWU879		1				
1630	KWU893		1				
1631	|LAGABxASZ2|		1				
1632	|LAGABxSZA3|		1				
1633	|LAGABxSZU|		1				
1634	|LAGABxUD@g|		1				
1635	|LAGABxX|		1				
1636	|LAGARxZA|		1				
1637	|LI@LI|		1				
1638	|LU2&LU2|		1				
1639	|LU2xGA2|		1				
1640	|LU2xX|		1				
1641	|LUL.SZE|		1				
1642	|LUxX|		1				
1643	|MASZ.EN.GAG|		1				"n. a social class"
1644	|MAxKAR2|		1				
1645	|MUSZxGAD|		1				
1646	|NIG2.MUNUS.LAL.SAG|		1				"n. a headband for women"
1647	|NIG2.MUNUS.SAG.LAL|		1				"n. a headband for women"
1648	|NIG2.SAG.LAL.MUNUS|		1				"n. a headband for women"
1649	NIGIN4		1				
1650	|NIM@g|		1				
1651	|NINDA2xU|		1				
1652	|NUNUZ.(KISIM5x(TUG2.HI))|		1				
1653	|NUNUZ.(KISIM5xGAG)|		1				
1654	|NUNUZ.(KISIM5xGUG2)|		1				
1655	|NUNUZ.(KISIM5xX)|		1				
1656	|NUNUZ.AB2x(BI.ME)|		1				
1657	|NUNUZ.AB2xGUG2|		1				
1658	|NUNUZ.AB2xX|		1				
1659	|PA.URU|		1				"adj. a laborer qualification"
1660	REC344		1				
1661	|SAGxNI|		1				
1662	|SAGxSIG7|		1				
1663	|SI@s|		1				
1664	|SZA3xX|		1				
1665	|SZIMxAN|		1				
1666	|SZIMxKUSZU2|		1				
1667	|SZIMxPI|		1				
1668	|SZIMxX|		1				
1669	|SZU2.E2|		1				
1670	|TAxASZ2|		1				
1671	|TAxSZE|		1				
1672	|TAxU|		1				
1673	|TExX|		1				
1674	|TUG2.HI|		1				
1675	|TUG2.NUN|		1				
1676	|TUKxUD|		1				
1677	|TUM@s|		1				
1678	|U.EN|		1				"n. a plant"
1679	|U8+HUL2|		1				"n. a fat-tailed ewe"
1680	|UDxX|		1				
1681	|UG@g|		1				
1682	UR@g		1				
1683	UR2@g		1				"n. a woody plant"
1684	|UR2x(A.NA)|		1				
1685	|UR2xA|		1				
1686	|UR2xASZ2|		1				
1687	|UR2xGAD|		1				
1688	|UR2xKAL|		1				
1689	|UR2xKAR2|		1				
1690	|UR2xPA|		1				
1691	|UR2xUD|		1				
1692	|UR2xX|		1				
1693	|UR2xZI|		1				
1694	|URUDUxESZ|		1				
1695	|URUxKI|		1				
1696	|URUxX|		1				
1697	|URxX|		1				
1698	|USZ@g|		1				
1699	|USZxSA|		1				
1700	|USZxX|		1				
1701	|ZI&ZI|		1				"n. a plant"
1702	ZI2		1				
1703	ASZ	1(asz)	1				"“1” gur, gu2, laborer"
1704	ASZ@45	1(asz@45)	1				"“1”, special circumstances"
1705	ASZ@c	1(asz@c)	1				
1706	BAN2	1(ban2)	1				
1707	BAN2@c	1(ban2@c)	1				
1708	BARIG	1(barig)	1				
1709	BARIG@c	1(barig@c)	1				
1710	BUR'U	1(bur'u)	1				
1711	BUR3	1(bur3)	1				
1712	DISZ	1(disz)	1				
1713	ESZE3	1(esze3)	1				
1714	GESZ'U	1(gesz'u)	1				
1715	GESZ'U@c	1(gesz'u@c)	1				
1716	GESZ2	1(gesz2)	1				
1717	GESZ2@c	1(gesz2@c)	1				
1718	IKU	1(iku)	1				
1719	IKU@c	1(iku@c)	1				
1720	SZAR'U	1(szar'u)	1				
1721	SZAR2	1(szar2)	1				
1722	SZAR2@c	1(szar2@c)	1				
1723	SZARGAL	1(szargal){gal}	1				
1724	U	1(u)	1				
1725	U@c	1(u@c)	1				
1726	ASZ	1/2(asz)	1				
1727	ASZ@c	1/2(asz@c)	1				
1728	DISZ	1/2(disz)	1				
1729	IKU	1/2(iku)	1				
1730	IKU@c	1/2(iku@c)	1				
1731	NINDA2x(SZE.1(ASZ))	1/3(|NINDA2x(SZE.1(ASZ))|)	1				
1732	ASZ	1/3(asz)	1				
1733	ASZ@c	1/3(asz@c)	1				
1734	DISZ	1/3(disz)	1				
1735	DISZ@v	1/3(disz@v)	1				
1736	IKU	1/4(iku)	1				
1737	IKU	1/8(iku)	1				
1738	ASZ	2(asz)	1				
1739	ASZ@45	2(asz@45)	1				
1740	ASZ@c	2(asz@c)	1				
1741	BAN2	2(ban2)	1				
1742	BAN2@c	2(ban2@c)	1				
1743	BARIG	2(barig)	1				
1744	BARIG@c	2(barig@c)	1				
1745	BUR'U	2(bur'u)	1				
1746	BUR3	2(bur3)	1				
1747	DISZ	2(disz)	1				
1748	DISZ@v	2(disz@v)	1				
1749	ESZE3	2(esze3)	1				
1750	GESZ'U	2(gesz'u)	1				
1751	GESZ'U@c	2(gesz'u@c)	1				
1752	GESZ2	2(gesz2)	1				
1753	GESZ2@c	2(gesz2@c)	1				
1754	IKU	2(iku)	1				
1755	IKU@c	2(iku@c)	1				
1756	SZAR'U	2(szar'u)	1				
1757	SZAR2	2(szar2)	1				
1758	SZARGAL	2(szargal){gal}	1				
1759	U	2(u)	1				
1760	U@c	2(u@c)	1				
1761	NINDA2x(SZE.2(ASZ))	2/3(|NINDA2x(SZE.2(ASZ))|)	1				
1762	ASZ	2/3(asz)	1				
1763	DISZ	2/3(disz)	1				
1764	DISZ@v	2/3(disz@v)	1				
1765	ASZ	3(asz)	1				
1766	ASZ@45	3(asz@45)	1				
1767	ASZ@c	3(asz@c)	1				
1768	BAN2	3(ban2)	1				
1769	BAN2ASZ@45	3(ban2)(3(asz@45))	1				
1770	BAN2@c	3(ban2@c)	1				
1771	BARIG	3(barig)	1				
1772	BUR'U	3(bur'u)	1				
1773	BUR3	3(bur3)	1				
1774	DISZ	3(disz)	1				
1775	GESZ'U	3(gesz'u)	1				
1776	GESZ2	3(gesz2)	1				
1777	GESZ2@c	3(gesz2@c)	1				
1778	IKU	3(iku)	1				
1779	IKU@c	3(iku@c)	1				
1780	SZAR'U	3(szar'u)	1				
1781	SZAR2	3(szar2)	1				
1782	SZARGAL	3(szargal){gal}	1				
1783	U	3(u)	1				
1784	U@c	3(u@c)	1				
1785	ASZ	4(asz)	1				
1786	ASZ@45	4(asz@45)	1				
1787	ASZ@c	4(asz@c)	1				
1788	BAN2	4(ban2)	1				
1789	BAN2@c	4(ban2@c)	1				
1790	BARIG	4(barig)	1				
1791	BUR'U	4(bur'u)	1				
1792	BUR3	4(bur3)	1				
1793	DISZ	4(disz)	1				
1794	DISZ@v	4(disz@v)	1				
1795	GESZ'U	4(gesz'u)	1				
1796	GESZ2	4(gesz2)	1				
1797	GESZ2@c	4(gesz2@c)	1				
1798	IKU	4(iku)	1				
1799	SZAR'U	4(szar'u)	1				
1800	SZAR2	4(szar2)	1				
1801	SZARGAL	4(szargal){gal}	1				
1802	U	4(u)	1				
1803	U@c	4(u@c)	1				
1804	ASZ	5(asz)	1				
1805	ASZ@45	5(asz@45)	1				
1806	ASZ@c	5(asz@c)	1				
1807	BAN2	5(ban2)	1				
1808	BUR'U	5(bur'u)	1				
1809	BUR3	5(bur3)	1				
1810	DISZ	5(disz)	1				
1811	GESZ'U	5(gesz'u)	1				
1812	GESZ2	5(gesz2)	1				
1813	GESZ2@c	5(gesz2@c)	1				
1814	IKU	5(iku)	1				
1815	IKU@c	5(iku@c)	1				
1816	SZAR'U	5(szar'u)	1				
1817	SZAR2	5(szar2)	1				
1818	SZARGAL	5(szargal){gal}	1				
1819	U	5(u)	1				
1820	U@c	5(u@c)	1				
1821	ASZ	5/6(asz)	1				
1822	DISZ	5/6(disz)	1				
1823	ASZ	6(asz)	1				
1824	ASZ@45	6(asz@45)	1				
1825	ASZ@c	6(asz@c)	1				
1826	BUR3	6(bur3)	1				
1827	DISZ	6(disz)	1				
1828	GESZ	6(gesz)	1				
1829	GESZ2	6(gesz2)	1				
1830	GESZ2@c	6(gesz2@c)	1				
1831	SZAR2	6(szar2)	1				
1832	ASZ	7(asz)	1				
1833	ASZ@45	7(asz@45)	1				
1834	ASZ@c	7(asz@c)	1				
1835	BUR3	7(bur3)	1				
1836	DISZ	7(disz)	1				
1837	DISZ@v	7(disz@v)	1				
1838	GESZ2	7(gesz2)	1				
1839	SZAR2	7(szar2)	1				
1840	ASZ	8(asz)	1				
1841	ASZ@45	8(asz@45)	1				
1842	ASZ@c	8(asz@c)	1				
1843	BUR3	8(bur3)	1				
1844	DISZ	8(disz)	1				
1845	DISZ@v	8(disz@v)	1				
1846	GESZ2	8(gesz2)	1				
1847	GESZ2@c	8(gesz2@c)	1				
1848	SZAR2	8(szar2)	1				
1849	SZARGAL	8(szargal){gal}	1				
1850	ASZ	9(asz)	1				
1851	ASZ@45	9(asz@45)	1				
1852	ASZ@c	9(asz@c)	1				
1853	BUR3	9(bur3)	1				
1854	DISZ	9(disz)	1				
1855	DISZ@v	9(disz@v)	1				
1856	GESZ2	9(gesz2)	1				
1857	GESZ2@c	9(gesz2@c)	1				
1858	SZAR2	9(szar2)	1				
1859	SZARGAL	9(szargal){gal}	1				
