"Characterqid","Character","ABZ","AKS","ATU1","DP","ELLES","Ebs","FOS","HZL","KWU","LAK","LEC","Labat","MesZL","OAK","PI","Pea","REC","RSP","SEH","UET2","ZATU","ABZL","ŠL/HA","Char image"
"Q123274655","CUNEIFORM SIGN N-53","","","","","","","","","","","","","","","","","","","","","N-53","","",""
"Q123274669","CUNEIFORM SIGN N-54","","","906","","","","","","","","","","","","","","","","","","N-54","","",""
"Q123274678","CUNEIFORM SIGN N-55","","","","","","","","","","","","","","","","","","","","","N-55","","",""
"Q123274693","CUNEIFORM SIGN N-56","","","","","","","","","","","","","","","","","","","","","N-56","","",""
"Q123274729","CUNEIFORM SIGN N-57","","","892","","","","","","","LAK-820","","","","","41","","","","","","N-57","","",""
"Q123274827","CUNEIFORM SIGN N-58","","","","","","","","","","LAK-820","","","","","","","","","","","N-58","","",""
"Q123294227","CUNEIFORM SIGN N-59","","","","","","","","","","","","","","","","","","","","","N-59","","",""
"Q123294276","CUNEIFORM SIGN N-60","","","","","","","","","","","","","","","","","","","","","N-60","","",""
"Q123271035","CUNEIFORM SIGN N-7","","","921","","","","","","","","","","","","","","","","","","N-7","","",""
"Q123271396","CUNEIFORM SIGN N-8","","","920","","","","","","","","","","","","456 / 457","","","","","","N-8","","",""
"Q123271406","CUNEIFORM SIGN N-9","","","922","","","","","","","","","","","","","","","","","","N-9","","",""
"Q123159959","CUNEIFORM SIGN NAM2 GUNU (𒉇@g)","","","","","","","","","","","","","","","","","","","","","386","","",""
"Q121506878","CUNEIFORM SIGN NANNA (𒋀 & 𒆠)","","13","","","","","","","33","LAK-033","","","","","","","","92","","","","022","",""
"Q122923500","CUNEIFORM SIGN NE TIMES KASKAL (𒉈 × 𒆜)","","","","","081","","","","","LAK-150","","","","","","","","","","","","","",""
"Q122923665","CUNEIFORM SIGN NE TIMES PAP (𒉈 × 𒉽)","","","","","","","","","","LAK-149","","","","","","","","","","","","","",""
"Q120305042","CUNEIFORM SIGN NENNI (𒇧 & 𒇧)","","","","","","","[p 953f]","","","","","","806","","","","","","","","","","515_9",""
"Q123302447","CUNEIFORM SIGN NERGAL_X (𒄊 × 𒀊)","","","","","","","","","","","","","","","","","","","","","392","","",""
"Q123159968","CUNEIFORM SIGN NI GUNU (𒉌@g)","","","737 / 736","","","","","","","","","","","","","","","","","","394","","",""
"Q123260165","CUNEIFORM SIGN NI GUNU TIMES HI GUNU (𒉌@g  × 𒄭@g)","","","542","","","","","","","","","","","","","","","","","","395","","",""
"Q122937244","CUNEIFORM SIGN NI.TUK (𒉌 & 𒌇)","","","","70,I","268","","","","","LAK-514","","","","","","","","150","","409","77","","",""
"Q123089274","CUNEIFORM SIGN NIDBA (𒉻 & 𒀭 & 𒈹)","","","","","","","","","","","","","","","","","","172","","","","","",""
"Q120353484","CUNEIFORM SIGN NIG (𒊩 & 𒌨)","","305","","","","","[p 1015]","","","LAK-521","","563","898","","","","","","","","","461","563",""
"Q120304566","CUNEIFORM SIGN NIGIN (𒆸 & 𒆸)","","286","","","","","","","","","","","804","","","","","17","","","","403","529",""
"Q120299003","CUNEIFORM SIGN NIGIN3 (𒌋 & 𒌓 & 𒆤)","447a","","","","","","[p 873f]","","512","LAK-402","","","707","","","","272","17","","","","","447a",""
"Q120280220","CUNEIFORM SIGN NIGIN4 (𒌋 & 𒌓)","447","","","","","","[p 873]","","511","","","","706","","","","","","","","","","447",""
"Q120352447","CUNEIFORM SIGN NIN (𒊩 & 𒌆)","","300","","","274","","[p 999-1002]","299","796","LAK-522","142-143","556","887","300","305","","335","190*","556","401","400","452","556",""
"Q120352183","CUNEIFORM SIGN NIN9 (𒊩 & 𒆪)","","","","","","","[p 997-999]","299","795a","","","","886","","","","334","","","","","451","556",""
"Q122912562","CUNEIFORM SIGN NINDA2 TIMES 2(DISH) (𒉒 × 𒁹𒁹)","","","","","059","","","","","LAK-101","","","","","","","","","","","","","",""
"Q123159978","CUNEIFORM SIGN NINDA2 TIMES BA (𒉒 × 𒁀)","","","","","","","","","","","","","","","","","","","","","402","","",""
"Q123159983","CUNEIFORM SIGN NINDA2 TIMES EZEN (𒉒 × 𒂡)","","","","","","","","","","","","","","","","","","","","","403","","",""
"Q123159988","CUNEIFORM SIGN NINDA2 TIMES GAR (𒉒 × 𒃻)","","","","","","","","","","","","","","","","","","","","","404","","",""
"Q123165638","CUNEIFORM SIGN NINDA2 TIMES GUDU4 (𒉒 × (𒄴 & 𒈨))","","","","","","","","","","","","","","","","","","","","","406","","",""
"Q122917091","CUNEIFORM SIGN NINDA2 TIMES KUL (𒉒 × 𒆰)","","","","","","","","","","LAK-096","","","","","","","","","","","","","",""
"Q123160006","CUNEIFORM SIGN NINDA2 TIMES MAR (𒉒 × 𒈥)","","","","","","","","","","","","","","","","","","","","","408","","",""
"Q123165759","CUNEIFORM SIGN NINDA2 TIMES UD (𒉒 × 𒌓)","","","","","","","","","","","","","","","","","","","","","409","","",""
"Q123227403","CUNEIFORM SIGN NINDA2 TIMES UDU TIMES TAR (𒉒 × 𒌓 × 𒋻)","","","","","","","","","","","","","","","","","","","","","410","","",""
"Q123260103","CUNEIFORM SIGN NIR TIMES AN (𒉪 × 𒀭)","","","","","","","","","","","","","","","420","","","","","","415","","",""
"Q123160015","CUNEIFORM SIGN NU GUNU (𒉡@g)","","","","","","","","","","","","","","","58 / 48","","","","","79","418","","",""
"Q120266638","CUNEIFORM SIGN NUMUN2 (𒍤 & 𒆸)","","","","","","","[p 130]","","128","LAK-469","","","102","","","[l 454ff]","298","","","259","420","149","066c",""
"Q123165797","CUNEIFORM SIGN NUN TIMES A (𒉣 × 𒀀)","","","","","","","","","","","","","","","","","","","","","422","","",""
"Q120275077","CUNEIFORM SIGN NUSKA (𒉺 & 𒌆)","","","","","","","[p 536f]","","200","","46","","467","","","","","","","","","","295l",""
"Q120266031","CUNEIFORM SIGN PA5 (𒉽 & 𒂊)","","","","","","","[p 122]","","","","93","","96","","","[l 83]","","298","","","","","060+308",""
"Q120265753","CUNEIFORM SIGN PA6 (𒉽 & 𒅖)","","","","","","","","","","","","","95","","","","","","","","","","060+212",""
"Q120301824","CUNEIFORM SIGN PAD3 (𒅆 & 𒊒)","","262","","84,III","222","","[p 876f]","292","558","LAK-423","349","450","725","","","","","74","","243","","235","450",""
"Q122935201","CUNEIFORM SIGN PIRIG TIMES PA.LAGAB","","","","","","","","","","LAK-258","","","","","","","","","","","","","",""
"Q122912664","CUNEIFORM SIGN PIRIG TIMES SHE (𒊊 × 𒊺)","","","","","","","","","","LAK-260","","","","","","","","","","","","","",""
"Q120265199","CUNEIFORM SIGN PUSH2 (𒉽 & 𒄬)","","33","","","","","","256(2)","","","173-a","","93","","","","","","","","","","060",""
"Q122526761","CUNEIFORM SIGN RIG7 (𒉺 & 𒄸 & 𒁺)","","","","","","","","","","","44","","","","","","","","","","","","",""
"Q120270450","CUNEIFORM SIGN SA4 (𒄷 & 𒈿)","82","57","","","","","[p 190f]","","113","LAK-068","","","138","","","","35","410*","","","","036","082",""
"Q123160046","CUNEIFORM SIGN SAG NUTILLU (𒊕@n)","","","","","","","","","","","","","","","","","","","","","441","","",""
"Q123260074","CUNEIFORM SIGN SAG TIMES GESHTU (𒔮 × 𒉿)","","","5 / 57","","","","","","","","","","","","","","","","","","438","","",""
"Q123165831","CUNEIFORM SIGN SAG TIMES HA (𒊬 × 𒄩)","","","","","","","","","","","","","","","","","","","","","446","","",""
"Q123165818","CUNEIFORM SIGN SAG TIMES MA (𒊕 × 𒈠)","","","","","","","","","","","","","","","166 / 169","","","","","","439","","",""
"Q122914753","CUNEIFORM SIGN SAG TIMES NI (𒊕 × 𒉌)","","","","","","","","","","LAK-313","","","","","","","","","","","","","",""
"Q122759052","CUNEIFORM SIGN SAG TIMES SIG7 (𒊕 × 𒅊)","","","","","","","9279 [p 281]","","430","","","","194","","","","","","","","","","",""
"Q120279846","CUNEIFORM SIGN SAGSHU (𒌋 & 𒊕)","","","","","180","","[p 828f]","","513","LAK-316","357","419","671","","","[l 302]","269","","","179","442","357","419",""
"Q122917031","CUNEIFORM SIGN SAL TIMES KUR (𒊩 × 𒆳)","","","","","276","","","","","LAK-049","","","","","","","","","","","","","",""
"Q122937223","CUNEIFORM SIGN SAL.ASH2 (𒊩 & 𒀾)","","","","","","","","","","LAK-519","","","","","","","","","","","","","",""
"Q122923716","CUNEIFORM SIGN SAR TIMES ZIZ2 (𒊬 × 𒍩)","","","","","","","","","","LAK-217","","","","","","","","","","","","","",""
"Q123160126","CUNEIFORM SIGN SHA GUNU (𒊭@g)","","","","","","","","","","","","","","","82","","","","","","502","","",""
"Q123227531","CUNEIFORM SIGN SHA TIMES HI GUNU (𒊭 × 𒄭@g)","","","187 / 186","","","","","","","","","","","","","","","","","","501","","",""
"Q120274927","CUNEIFORM SIGN SHAB (𒉺 & 𒅁)","","154","","","","","[p 535f]","175","198","LAK-129","43","295k","466","154","","","","","","","504","","295k",""
"Q122434367","CUNEIFORM SIGN SHABRA (𒉺 & 𒀠)","","","","","","","","","","","42","","","","","","","","","","505","","",""
"Q120279987","CUNEIFORM SIGN SHAGAN (𒌋 & 𒃶)","","","181","","","","[p 840]","270","547","LAK-458","363","428","684","248a","","","230","16","","279","506","345","428",""
"Q123259464","CUNEIFORM SIGN SHAGINA (𒄊 × 𒀴)","","","","","","","","","","","","","","","","","","","","","507","","",""
"Q122914966","CUNEIFORM SIGN SHAR2 TIMES HA (𒊹 × 𒄩)","","","","","","","","","","LAK-810","","","","","","","","","","","","","",""
"Q121511631","CUNEIFORM SIGN SHE & SUHUR (𒊺 & 𒋦)","","","","","","","","","","","","","","","","","","","","","","387","",""
"Q123167543","CUNEIFORM SIGN SHE TIMES KIN2 (𒊺 × 𒄯)","","","","","","","","","","","","","","","","","","","","","512","","",""
"Q123227594","CUNEIFORM SIGN SHE TIMES NAM2 (𒊺 × 𒉇)","","","112","","","","","","","","","","","","","","","","","","513","","",""
"Q123167563","CUNEIFORM SIGN SHE3 TENU (𒂠@t)","","","","","","","","","","","","","","","","","","","","","518","","",""
"Q123305666","CUNEIFORM SIGN SHELU (𒊺 & 𒈖)","","","","","","","","","","","","","","","","","","","","","520","","",""
"Q122915419","CUNEIFORM SIGN SHESH2 GUNU (𒋁@g)","","","","","","","","","","LAK-669","","","","","","","","","","","","","",""
"Q120278438","CUNEIFORM SIGN SHIBIR (𒌋 & 𒂘)","","","","","","","[p 822]","","","","","","666","","","","","","","","","341","413",""
"Q122915053","CUNEIFORM SIGN SHIM GUNU (𒋆@g)","","","","","","","","","","LAK-660","","","","","","","","","","","","","",""
"Q122937138","CUNEIFORM SIGN SHIM GUNU TIMES KUSHU2 (𒋆@g × 𒆵)","","","","","","","","","","LAK-662","","","","","","","","","","","","","",""
"Q122915045","CUNEIFORM SIGN SHIM GUNU TIMES PI (𒋆@g × 𒉿)","","","","","","","","","","LAK-661","","","","","","","","","","","","","",""
"Q122915069","CUNEIFORM SIGN SHIM TIMES PI (𒋆 × 𒉿)","","","","","","","","","","LAK-657","","","","","","","","","","","","","",""
"Q123167638","CUNEIFORM SIGN SHITA TIMES SHU (𒋖 × 𒋗)","","","","","","","","","","","","","","","","","","","","","528","","",""
"Q123287177","CUNEIFORM SIGN SHITA TIMES ZATU 659 (𒋖 × ZATU 659)","","","","","","","","","","","","","","","","","","","","","529","","",""
"Q120274725","CUNEIFORM SIGN SHITA2 (𒋖 & 𒄑)","","","","","","","[p 511]","","","","","","434","","","","318","","","","","460","233_40",""
"Q120352006","CUNEIFORM SIGN SHU2 & UR SHESHIG (𒋙 & 𒌪)","","","","","","","[p 1078]","","570","","","","880","","","","261","","","","","","550a",""
"Q123259189","CUNEIFORM SIGN SHU2 TIMES EN (𒋙 × 𒂗)","","","","","","","","","","","","","","","","","","","","","536","","",""
"Q123259169","CUNEIFORM SIGN SHU2 TIMES UD (𒋙 × 𒌓)","","","206","","","","","","","LAK-401","","","","","","","","","","","537","","",""
"Q122936968","CUNEIFORM SIGN SHU2.E2 (𒋙 & 𒂍)","","","","","","","","","","LAK-397","","","","","297","","","","","170 / 230","535","","",""
"Q123250686","CUNEIFORM SIGN SHUNIGIN (𒋗 & 𒃸)","","","","","","","","","","LAK-140","","","","","","","","","","","542","","",""
"Q123165897","CUNEIFORM SIGN SI TIMES GU4 (𒋛 × 𒄞)","","","","","","","","","","","","","","","","","","","","","448","","",""
"Q123165921","CUNEIFORM SIGN SI TIMES SHE3 (𒋛 × 𒂠)","","","","","","","","","","","","","","","","","","","","","449","","",""
"Q123165963","CUNEIFORM SIGN SIG2 TIMES U (𒋠 × 𒌋)","","","","","","","","","","","","","","","","","","","","","453","","",""
"Q120302799","CUNEIFORM SIGN SIG5 (𒅆 & 𒂟)","","","","","","","[p 882f]","293","559","","","","729","263a","","","","","","","","238","454",""
"Q120271196","CUNEIFORM SIGN SIG8 (𒃰 & 𒋺 & 𒄑)","","","","","","","[p 216]","","","","","","161","","","","","","","","","","092c",""
"Q123166608","CUNEIFORM SIGN SILA3 TIMES A (𒋡 × 𒀀)","","","","","","","","","","","","","","","","","","","","","457","","",""
"Q123166613","CUNEIFORM SIGN SILA3 TIMES DUG (𒋡 × 𒂁)","","","","","","","","","","","","","","","321","","","","","","458","","",""
"Q123166670","CUNEIFORM SIGN SILA3 TIMES GA (𒋡 × 𒂵)","","","","","","","","","","","","","","","","","","","","","459","","",""
"Q123166677","CUNEIFORM SIGN SILA3 TIMES GAR (𒋡 × 𒃻)","","","","","","","","","","","","","","","","","","","","","460","","",""
"Q123166689","CUNEIFORM SIGN SILA3 TIMES GARA2 (𒋡 × 𒂶)","","","","","","","","","","","","","","","","","","","","","461","","",""
"Q123166704","CUNEIFORM SIGN SILA3 TIMES GESHTU (𒋡 × 𒉿)","","","","","","","","","","","","","","","","","","","","","462","","",""
"Q123166713","CUNEIFORM SIGN SILA3 TIMES HI (𒋡 × 𒄭)","","","","","","","","","","","","","","","","","","","","","464","","",""
"Q123166726","CUNEIFORM SIGN SILA3 TIMES HI GUNU (𒋡 × 𒄭@g)","","","","","","","","","","","","","","","","","","","","","465","","",""
"Q123166740","CUNEIFORM SIGN SILA3 TIMES IB (𒋡 × 𒅁)","","","","","","","","","","","","","","","","","","","","","466","","",""
"Q123166797","CUNEIFORM SIGN SILA3 TIMES KASH (𒋡 × 𒁉)","","","","","","","","","","","","","","","","","","","","","467","","",""
"Q123166807","CUNEIFORM SIGN SILA3 TIMES KUR (𒋡 × 𒆳)","","","","","","","","","","","","","","","","","","","","","468","","",""
"Q123166812","CUNEIFORM SIGN SILA3 TIMES MASH (𒋡 × 𒈦)","","","","","","","","","","","","","","","","","","","","","470","","",""
"Q123166855","CUNEIFORM SIGN SILA3 TIMES NAGA (𒋡 × 𒉀)","","","","","","","","","","","","","","","","","","","","","471","","",""
"Q123166860","CUNEIFORM SIGN SILA3 TIMES NI (𒋡 × 𒉌)","","","","","","","","","","","","","","","","","","","","","472","","",""
"Q123259937","CUNEIFORM SIGN SILA3 TIMES PESH3 (𒋡 × 𒈠)","","","","","","","","","","","","","","","","","","","","","473","","",""
"Q123166900","CUNEIFORM SIGN SILA3 TIMES SHE (𒋡 × 𒊺)","","","","","","","","","","","","","","","","","","","","","475","","",""
"Q123166918","CUNEIFORM SIGN SILA3 TIMES SHU (𒋡 × 𒋗)","","","","","","","","","","","","","","","","","","","","","476","","",""
"Q123166925","CUNEIFORM SIGN SILA3 TIMES SHU2 (𒋡 × 𒋙)","","","","","","","","","","","","","","","124","","","","","","477","","",""
"Q123166896","CUNEIFORM SIGN SILA3 TIMES SUM (𒋡 × 𒋧)","","","","","","","","","","","","","","","","","","","","","474","","",""
"Q123166938","CUNEIFORM SIGN SILA3 TIMES UD5 (𒋡 × 𒍚)","","","","","","","","","","","","","","","","","","","","","479","","",""
"Q123289477","CUNEIFORM SIGN SILA3 TIMES ZATU 687 (𒋡 × ZATU 687)","","","","","","","","","","","","","","","","","","","","","480","","",""
"Q120275213","CUNEIFORM SIGN SIPA (𒉺 & 𒇻)","","155","","94,III","","","","177","","","45","295m","468","","","","","57*","","","","","295m",""
"Q123259685","CUNEIFORM SIGN SU TIMES DISH (𒋢 × 𒁹)","","","","","","","","","","","","","","","","","","","","","486","","",""
"Q122936619","CUNEIFORM SIGN SU.KUR.RU (𒋢 & 𒆳 & 𒊒)","","","","","","","","","","LAK-294","","","","","","","","","","122","","","",""
"Q123160028","CUNEIFORM SIGN SUD2 GUNU (𒋥@g)","","","852","","","","","","","","","","","","","","","","","","433","","",""
"Q122587426","CUNEIFORM SIGN SUR10 (𒈣 & 𒅊)","","","","","","","[p 285]","","","","","","206","","","","","","","","","","",""
"Q123304264","CUNEIFORM SIGN SUSA (𒈹 & 𒂞)","","","","","","","","","","","","","","","","","","","","","499","","",""
"Q120350764","CUNEIFORM SIGN SZEG8 (𒋙 & 𒉀)","","","","","","","[p 992]","","","","","","873","","","","","","","","","","551",""
"Q120351595","CUNEIFORM SIGN SZUDUN (𒋙 & 𒂈)","","","","","","","[p 990]","","503","","338","549","876","","","","261","","","","","","549",""
"Q122936835","CUNEIFORM SIGN TE.ME (𒋼 & 𒈨)","","","","","","","","","","LAK-374","","","","","","","","","","","","","",""
"Q123259041","CUNEIFORM SIGN TIDNUM (𒄊 & 𒊊 )","","","","","","","","","","","","","","","","","","","","","552","","",""
"Q123088120","CUNEIFORM SIGN TU5 (𒋗 & 𒉀)","","","","42,IX","","","","","","","","","","","","","","125","","","","","",""
"Q123167764","CUNEIFORM SIGN TUG2 GUNU (𒌆@g)","","","","","","","","","","","","","","","","","","","","","557","","",""
"Q123227852","CUNEIFORM SIGN TUG2 GUNU TIMES BAD OVER BAD (𒌆@g × 𒁁 / 𒁁)","","","","","","","","","","","","","","","","","","","","","558","","",""
"Q123227818","CUNEIFORM SIGN TUG2 TIMES BAD OVER BAD (𒌆 × 𒁁 / 𒁁 )","","","","","","","","","","","","","","","","","","","","","556","","",""
"Q120352933","CUNEIFORM SIGN TUGUL (𒉄 & 𒍞)","","","","","","","[p 1013]","","","","154-a","561","894","","","","","","","","","","561",""
"Q121467709","CUNEIFORM SIGN TUR3 (𒉣 & 𒇬)","","63a","239","","","","[p 208f]","34","131","LAK-078","17","87a","145","63a","30","[l 398]","","186","","60","563","048","087a",""
"Q120279699","CUNEIFORM SIGN U.DAR (𒌋 & 𒁯)","","","","","","","[p 823-827]","263","334","","362","","670","","","","","11","","","","","418",""
"Q121302193","CUNEIFORM SIGN U.GA (𒌋 & 𒂵)","443","","","","","","[p 864]","","","LAK-412","","","700","258a","","","","14","","","","351","443",""
"Q120279469","CUNEIFORM SIGN U.GUR (𒌋 & 𒄥)","","","","","","","[p 823]","","","","358-c","417","669","","","","","","","","","","417",""
"Q121302163","CUNEIFORM SIGN U.KID (𒌋 & 𒆤)","442","","","","","","[p 864]","","","","","","699","","","","","","","","","346","442",""
"Q122937009","CUNEIFORM SIGN U.SHA (𒌋 & 𒊭)","","","","","","","","","509","LAK-411","","","","","","","","","","","","","",""
"Q120300483","CUNEIFORM SIGN U.U-GUNU (𒌋 & 𒐴)","","","","","","","","","","","","","709","","","","","","","","","","411+350_8",""
"Q121507191","CUNEIFORM SIGN U5 (𒄷 & 𒋛)","","53","","","041","","[p 168f]","25","114","LAK-066","","78a","133","53","","[l 128]","37","409*","","","","033","",""
"Q120302402","CUNEIFORM SIGN U6 (𒅆 & 𒂍)","449_145","","","","","","[p 881]","","","","","","728","","","","","","","","","236","449_145",""
"Q123167896","CUNEIFORM SIGN UD TIMES DUB (𒌓 × 𒁾)","","","","","","","","","","","","","","","","","","","","","567","","",""
"Q122947612","CUNEIFORM SIGN UD TIMES PAP (𒌓 × 𒉽)","","","","","207","","","","","","","","","","","","","","","","","","",""
"Q123167940","CUNEIFORM SIGN UD TIMES SHU2 (𒌓 × 𒋙)","","","205","","","","","","","","","","","","","","","","","","568","","",""
"Q122936763","CUNEIFORM SIGN UD.KA.ASH (𒌓 & 𒅗 & 𒀸)","","","","","","","","","","LAK-329","","","","","","","","","","","","","",""
"Q120275994","CUNEIFORM SIGN UD.MUNUS.HUB2 (𒌓 & 𒊩 &  𒄸)","","","","","","","[p 774]","","","","","","610","","","","","","","","","463","391",""
"Q123089390","CUNEIFORM SIGN UD.SHA (𒌓 & 𒊭)","","","","59,III","","","","","","","","","","","","","","324*","","","","","",""
"Q123167958","CUNEIFORM SIGN UDU TIMES TAR (𒌓 × 𒋻)","","","","","","","","","","","","","","","","","","","","","576","","",""
"Q120278114","CUNEIFORM SIGN UDUN (𒌋 & 𒈬)","","","","","","","[p 822]","264","","","358-a","415","665","","","","","","","","","340","415",""
"Q123258971","CUNEIFORM SIGN UDUNITA (𒇻 & 𒍑)","","","773 / 770 / 772 / 771","","","","","","","","","","","","","","","","","","578","","",""
"Q120276734","CUNEIFORM SIGN UGU (𒌋 & 𒅗)","","243","","","","","[p 820-822]","272","514","LAK-413","358","412","663","","","[l 310]","270","13","","","","358","412",""
"Q123119365","CUNEIFORM SIGN UMMA (𒄑 & 𒆵)","","","","230,16","","","","","","","","","","","","","","234","","","","","",""
"Q123167974","CUNEIFORM SIGN UNUG SHESHIG (𒀕@s)","","","648","","","","","","","","","","","","","","","","","","585","","",""
"Q123287146","CUNEIFORM SIGN UNUG.A (𒀕 & 𒀀)","","","","","","","","","","","","","","","","","","","","","584","","",""
"Q123167988","CUNEIFORM SIGN UR GUNU (𒌨@g)","","","33 / 32","","","","","","","","","","","","","","","","","","587","","",""
"Q123168008","CUNEIFORM SIGN UR2 TIMES ASH (𒌫 × 𒀸)","","","","","","","","","","","","","","","","","","","","","589","","",""
"Q123168024","CUNEIFORM SIGN UR2 TIMES TAR (𒌫 × 𒋻)","","","","","","","","","","","","","","","","","","","","","590","","",""
"Q123287123","CUNEIFORM SIGN URI5 (𒋀 & 𒀊)","","","","","","","","","","","","","","","","","","","","14","596","","",""
"Q123227898","CUNEIFORM SIGN URU TIMES AMAR (𒌷 × 𒀫)","","","624","","","","","","","","","","","","","","","","","","598","","",""
"Q123227941","CUNEIFORM SIGN URU TIMES KALAM (𒌷 × 𒌦)","","","620","","","","","","","","","","","","","","","","","","599","","",""
"Q123228020","CUNEIFORM SIGN URU TIMES NIMGIR (𒌷 × 𒂇)","","","625","","","","","","","","","","","","","","","","","","600","","",""
"Q122915157","CUNEIFORM SIGN URU TIMES U2 TENU","","","","","","","","","","LAK-599","","","","","","","","","","","","","",""
"Q123168060","CUNEIFORM SIGN URUDA GUNU (𒍏@g)","","","638 / 637","","","","","","","","","","","","","","","","","","603","","",""
"Q120275399","CUNEIFORM SIGN USAN2.GAG (𒄝 &  𒆕)","","","","","","","[p 619]","","","","","","510","","","","","","","","","","327x",""
"Q123250303","CUNEIFORM SIGN USH TIMES TAR (𒍑 × 𒋻)","","","","","","","","","","","","","","","","","","","","","605","","",""
"Q123286946","CUNEIFORM SIGN USHUMGAL (𒃲 & 𒁔)","","","","","","","","","","","","","","","","","","","","","607","","",""
"Q123034767","CUNEIFORM SIGN ZABAR (𒌓 & 𒅗 & 𒁇)","","","","","","","","","","","","","","","","","","208","","","","","",""
"Q123250254","CUNEIFORM SIGN ZATU 619","","","","","","","","","","","","","","","","","","","","","619","","",""
"Q123250247","CUNEIFORM SIGN ZATU 620","","","823","","","","","","","","","","","","","","","","","","620","","",""
"Q123250239","CUNEIFORM SIGN ZATU 621","","","262 / 226","","","","","","","","","","","","","","","","","","621","","",""
"Q123250221","CUNEIFORM SIGN ZATU 622","","","263","","","","","","","","","","","","","","","","","","622","","",""
"Q123250207","CUNEIFORM SIGN ZATU 624","","","","","","","","","","","","","","","","","","","","","624","","",""
"Q123250187","CUNEIFORM SIGN ZATU 625","","","","","","","","","","","","","","","44","","","","","","625","","",""
"Q123250182","CUNEIFORM SIGN ZATU 626","","","291 / 381","","","","","","","","","","","","","","","","","","626","","",""
"Q123250177","CUNEIFORM SIGN ZATU 627","","","","","","","","","","","","","","","","","","","","","627","","",""
"Q123250172","CUNEIFORM SIGN ZATU 628","","","","","","","","","","","","","","","","","","","","","628","","",""
"Q123250164","CUNEIFORM SIGN ZATU 629","","","285 / 284","","","","","","","","","","","","","","","","","","629","","",""
"Q123250158","CUNEIFORM SIGN ZATU 630","","","308","","","","","","","","","","","","","","","","","","630","","",""
"Q123250152","CUNEIFORM SIGN ZATU 631","","","313","","","","","","","","","","","","","","","","","","631","","",""
"Q123250147","CUNEIFORM SIGN ZATU 632","","","683","","","","","","","","","","","","","","","","","","632","","",""
"Q123250141","CUNEIFORM SIGN ZATU 633","","","","","","","","","","","","","","","","","","","","","633","","",""
"Q123250133","CUNEIFORM SIGN ZATU 634","","","","","","","","","","","","","","","","","","","","","634","","",""
"Q123250131","CUNEIFORM SIGN ZATU 635","","","358 / 355","","","","","","","","","","","","","","","","","","635","","",""
"Q123250031","CUNEIFORM SIGN ZATU 636","","","","","","","","","","","","","","","","","","","","","636","","",""
"Q123250024","CUNEIFORM SIGN ZATU 637","","","840","","","","","","","","","","","","","","","","","","637","","",""
"Q123250016","CUNEIFORM SIGN ZATU 638","","","","","","","","","","","","","","","","","","","","","638","","",""
"Q123250009","CUNEIFORM SIGN ZATU 639","","","323","","","","","","","","","","","","","","","","","","639","","",""
"Q123250001","CUNEIFORM SIGN ZATU 640","","","324","","","","","","","","","","","","","","","","","","640","","",""
"Q123249994","CUNEIFORM SIGN ZATU 641","","","359","","","","","","","","","","","","","","","","","","641","","",""
"Q123249853","CUNEIFORM SIGN ZATU 642","","","179","","","","","","","","","","","","","","","","","","642","","",""
"Q123249846","CUNEIFORM SIGN ZATU 643","","","","","","","","","","","","","","","","","","","","","643","","",""
"Q123249840","CUNEIFORM SIGN ZATU 645","","","","","","","","","","","","","","","","","","","","","645","","",""
"Q123249834","CUNEIFORM SIGN ZATU 646","","","","","","","","","","","","","","","","","","","","","646","","",""
"Q123249828","CUNEIFORM SIGN ZATU 647","","","447","","","","","","","","","","","","","","","","","","647","","",""
"Q123249820","CUNEIFORM SIGN ZATU 648","","","","","","","","","","","","","","","","","","","","","648","","",""
"Q123249749","CUNEIFORM SIGN ZATU 649","","","","","","","","","","","","","","","","","","","","","649","","",""
"Q123249757","CUNEIFORM SIGN ZATU 650","","","","","","","","","","","","","","","","","","","","","650","","",""
"Q123249676","CUNEIFORM SIGN ZATU 651","","","400 / 398 / 399","","","","","","","","","","","","","","","","","","651","","",""
"Q123249498","CUNEIFORM SIGN ZATU 651 GUNU","","","707","","","","","","","","","","","","414","","","","","","658","","",""
"Q123249658","CUNEIFORM SIGN ZATU 652","","","","","","","","","","","","","","","","","","","","","652","","",""
"Q123249531","CUNEIFORM SIGN ZATU 654","","","695","","","","","","","","","","","","213","","","","","","654","","",""
"Q123249522","CUNEIFORM SIGN ZATU 655","","","","","","","","","","","","","","","","","","","","","655","","",""
"Q123249514","CUNEIFORM SIGN ZATU 656","","","","","","","","","","","","","","","","","","","","","656","","",""
"Q123249510","CUNEIFORM SIGN ZATU 657","","","","","","","","","","","","","","","","","","","","","657","","",""
"Q123249488","CUNEIFORM SIGN ZATU 659","","","","","","","","","","","","","","","274","","","","","220","659","","",""
"Q123249484","CUNEIFORM SIGN ZATU 660","","","","","","","","","","","","","","","","","","","","","660","","",""
"Q123249428","CUNEIFORM SIGN ZATU 661","","","406 / 405","","","","","","","","","","","","289","","","","","","661","","",""
"Q123249421","CUNEIFORM SIGN ZATU 662","","","717","","","","","","","","","","","","","","","","","","662","","",""
"Q123249402","CUNEIFORM SIGN ZATU 664","","","380","","","","","","","","","","","","","","","","","","664","","",""
"Q123249399","CUNEIFORM SIGN ZATU 665","","","395","","","","","","","","","","","","","","","","","","665","","",""
