"Characterqid","Character","ABZ","AKS","ATU1","DP","ELLES","Ebs","FOS","HZL","KWU","LAK","LEC","Labat","MesZL","OAK","PI","Pea","REC","RSP","SEH","UET2","ZATU","ABZL","ŠL/HA","Char image"
"Q123182977","CUNEIFORM SIGN DARA3 TIMES KAR2 (𒁰 × 𒃸)","","","37","","","","","","","","","","","","","","","","","","71","","",""
"Q123172114","CUNEIFORM SIGN DARA3 TIMES SHE (𒁰 × 𒊺)","","","36","","","","","","","","","","","","","","","","","","72","","",""
"Q120273095","CUNEIFORM SIGN DIM3 (𒊐 &  𒃵)","","","","","","","[p 361]","116","81","","406","150","264","","","[l 632]","","398","","","","254","150",""
"Q120272251","CUNEIFORM SIGN DIM8 (𒊐 &  𒃶)","","","","","","","","","","","","","263","","","","","","","","","","150v1",""
"Q120273352","CUNEIFORM SIGN DIM9 (𒈗 & 𒃶)","","","","","","","","","","","","","267","","","","","","","","","","150v2",""
"Q120271552","CUNEIFORM SIGN DIMGUL (𒈣 & 𒈮)","","","","","","","[p 284]","","","","","","202","","","[l 874]","","","","","","051","122a",""
"Q123155535","CUNEIFORM SIGN DIN TENU (𒁷@t)","","","679","","","","","","","","","","","","","","","","","183","80","","",""
"Q120271766","CUNEIFORM SIGN DIR (𒋛 & 𒀀)","","89","","","051","","[p 285-288]","89","95","LAK-084","49","123","207","89","","[l 183a]","","292*","123","32","","164","123","  "
"Q123168219","CUNEIFORM SIGN DU TIMES HI GUNU (𒂁 × 𒄭@g)","","","146","","","","","","","","","","","","","","","","","","102","","",""
"Q122937055","CUNEIFORM SIGN DU TIMES KASKAL (𒁺 × 𒆜)","","","","","253","","","","","LAK-485","","","","","","","","","","","","","",""
"Q123155555","CUNEIFORM SIGN DUB TIMES DISH (𒁾 × 𒁹)","","","641 / 642","","","","","","","","","","","","","","","","","","87","","",""
"Q123155574","CUNEIFORM SIGN DUG TIMES AB2 (𒂁 × 𒀖)","","","144","","","","","","","","","","","","","","","","","","89","","",""
"Q123226091","CUNEIFORM SIGN DUG TIMES ASH TIMES KU3 (𒂁 × 𒀸 × 𒆬)","","","","","","","","","","","","","","","","","","","","","92","","",""
"Q123155584","CUNEIFORM SIGN DUG TIMES BA (𒂁 × 𒁀)","","","","","","","","","","","","","","","","","","","","","93","","",""
"Q123172286","CUNEIFORM SIGN DUG TIMES BALAG (𒂁 × 𒁆)","","","","","","","","","","","","","","","428","","","","","","94","","",""
"Q123168263","CUNEIFORM SIGN DUG TIMES GALAM (𒂁 × 𒃴)","","","739","","","","","","","","","","","","","","","","","","116","","",""
"Q123155829","CUNEIFORM SIGN DUG TIMES NAGA (𒂁 × 𒉀)","","","","","","","","","","","","","","","","","","","","","109","","",""
"Q123155881","CUNEIFORM SIGN DUG TIMES SA (𒂁 × 𒊓)","","","","","","","","","","","","","","","","","","","","","110","","",""
"Q123262574","CUNEIFORM SIGN DUG TIMES SA TIMES GI (𒂁 × 𒊓 × 𒄀)","","","","","","","","","","","","","","","","","","","","","111","","",""
"Q123226133","CUNEIFORM SIGN DUG TIMES SHE TIMES NAM2 (𒂁 × 𒊺 × 𒉇)","","","","","","","","","","","","","","","","","","","","","119","","",""
"Q123155932","CUNEIFORM SIGN DUG TIMES SIG2 (𒂁 × 𒋠)","","","","","","","","","","","","","","","","","","","","","113","","",""
"Q123155941","CUNEIFORM SIGN DUG TIMES SUHUR (𒂁 × 𒋦)","","","","","","","","","","","","","","","","","","","","","115","","",""
"Q123155990","CUNEIFORM SIGN DUG TIMES TAK4 (𒂁 × 𒋺)","","","","","","","","","","","","","","","","","","","","","120","","",""
"Q123155998","CUNEIFORM SIGN DUG TIMES TI (𒂁 × 𒋾)","","","","","","","","","","","","","","","","","","","","","121","","",""
"Q123156008","CUNEIFORM SIGN DUG TIMES U2 (𒂁 × 𒌑)","","","","","","","","","","","","","","","","","","","","","122","","",""
"Q123226275","CUNEIFORM SIGN DUG TIMES UH3 (𒂁 × 𒆵)","","","","","","","","","","","","","","","","","","","","","123","","",""
"Q123262595","CUNEIFORM SIGN DUG TIMES ZATU 764 (𒂁 × ZATU 764)","","","","","","","","","","","","","","","","","","","","","124","","",""
"Q120301012","CUNEIFORM SIGN DUL (𒌋 & 𒌆)","","267","","","","","[p 896-900]","262","412","","","","720","267","","","542","","","","","360","459",""
"Q123261259","CUNEIFORM SIGN DUR","","","","","","","","","","LAK-545","","","","","218","","","","","332","126","","",""
"Q123088313","CUNEIFORM SIGN E11 (𒇯 & 𒁺)","","","","","","","","","","","","","","","","","","145*","","","","","",""
"Q122915001","CUNEIFORM SIGN E2 TIMES ASH TENU (𒂍 × 𒀸@t)","","","","","360","","","","713","LAK-734","","","","","","","","","","","","","",""
"Q122416425","CUNEIFORM SIGN E3 (𒌓 & 𒁺)","","222","19","","","","","","","","","","","222","","","","","","198a","132","","",""
"Q120353287","CUNEIFORM SIGN EGI2 (𒊩 & 𒂠)","","","","","","","","","","","","","897","","","","","","","","","453","554_84",""
"Q122900943","CUNEIFORM SIGN ELLES092","","","","","092","","","","","","","","","","","","","","","","","","",""
"Q122901034","CUNEIFORM SIGN ELLES151","","","","","151","","","","","","","","","","","","","","","","","","",""
"Q122901047","CUNEIFORM SIGN ELLES163","","","","","163","","","","","","","","","","","","","","","","","","",""
"Q122901103","CUNEIFORM SIGN ELLES164","","","","","164","","","","","","","","","","","","","","","","","","",""
"Q122901112","CUNEIFORM SIGN ELLES177","","","","","177","","","","","","","","","","","","","","","","","","",""
"Q122901283","CUNEIFORM SIGN ELLES179","","","","","179","","","","","","","","","","","","","","","","","","",""
"Q122901292","CUNEIFORM SIGN ELLES185","","","","","185","","","","","","","","","","","","","","","","","","",""
"Q122901305","CUNEIFORM SIGN ELLES189","","","","","189","","","","","","","","","","","","","","","","","","",""
"Q122901319","CUNEIFORM SIGN ELLES257","","","","","257","","","","","","","","","","","","","","","","","","",""
"Q122901331","CUNEIFORM SIGN ELLES270","","","","","270","","","","","","","","","","","","","","","","","","",""
"Q122901457","CUNEIFORM SIGN ELLES278","","","","","278","","","","","","","","","","","","","","","","","","",""
"Q122901465","CUNEIFORM SIGN ELLES296","","","","","296","","","","","","","","","","","","","","","","","","",""
"Q122901486","CUNEIFORM SIGN ELLES301","","","","","301","","","","","","","","","","","","","","","","","","",""
"Q122901499","CUNEIFORM SIGN ELLES307b","","","","","307b","","","","","","","","","","","","","","","","","","",""
"Q122901510","CUNEIFORM SIGN ELLES312","","","","","312","","","","","","","","","","","","","","","","","","",""
"Q122901530","CUNEIFORM SIGN ELLES313","","","","","313","","","","","","","","","","","","","","","","","","",""
"Q122901540","CUNEIFORM SIGN ELLES316","","","","","316","","","","","","","","","","","","","","","","","","",""
"Q122901552","CUNEIFORM SIGN ELLES324","","","","","324","","","","","","","","","","","","","","","","","","",""
"Q122901563","CUNEIFORM SIGN ELLES330","","","","","330","","","","","","","","","","","","","","","","","","",""
"Q122901577","CUNEIFORM SIGN ELLES358","","","","","358","","","","","","","","","","","","","","","","","","",""
"Q123156200","CUNEIFORM SIGN EN GUNU (𒂗@g)","","","321","","","","","","","","","","","","","","","","","","137","","",""
"Q122914887","CUNEIFORM SIGN EN TIMES A (𒂗 × 𒀀)","","","","","","","","","","LAK-533","","","","","","","","","","","","","",""
"Q123156185","CUNEIFORM SIGN EN TIMES NUN (𒂗 × 𒉣)","","","238 / 237","","","","","","","","","","","","442 / 116","","","","","","135","","",""
"Q123226331","CUNEIFORM SIGN EN TIMES UDU (𒂗 × 𒌓)","","","384","","","","","","","","","","","","","","","","","","136","","",""
"Q120349352","CUNEIFORM SIGN EN2 (𒋙 & 𒀭)","","","","","","","[p 989]","","","LAK-356","360","546","870","","180","","258","","","","138","","546",""
