
57	mah		U+12224	CUNEIFORM SIGN MAH
58	ku4		U+121AD	CUNEIFORM SIGN KU4
58	ku4		U+121AE	CUNEIFORM SIGN KU4 VARIANT FORM
58	uru5		U+122FD	CUNEIFORM SIGN TE GUNU
58	tu		U+12305	CUNEIFORM SIGN TU
59	li		U+121F7	CUNEIFORM SIGN LI
60	kur2		U+1227D	CUNEIFORM SIGN PAP
60*	zubi		U+1219B	CUNEIFORM SIGN KAM4
61	mu		U+1222C	CUNEIFORM SIGN MU
62	sila3		U+122E1	CUNEIFORM SIGN SILA3
63	kad2		U+12190	CUNEIFORM SIGN KAD2
63	kad3		U+12191	CUNEIFORM SIGN KAD3
63	tag4		U+122FA	CUNEIFORM SIGN TAK4
65	šešlam		U+122C2	CUNEIFORM SIGN SHESHLAM
66	ZI&ZI		U+12364	CUNEIFORM SIGN ZI OVER ZI
67	gil		U+12103	CUNEIFORM SIGN GI CROSSING GI
68	ru		U+12292	CUNEIFORM SIGN RU
69	be		U+12041	CUNEIFORM SIGN BAD
69	idim		U+12142	CUNEIFORM SIGN IDIM
69	til		U+12300	CUNEIFORM SIGN TIL
69	uš2		U+12357	CUNEIFORM SIGN USH2
69*	gurun			(variant of Labat sign 311)
70	na		U+1223E	CUNEIFORM SIGN NA
71	šir		U+122D3	CUNEIFORM SIGN SHIR
72	numun		U+121B0	CUNEIFORM SIGN KUL
73	ti		U+122FE	CUNEIFORM SIGN TI
74	bar		U+12047	CUNEIFORM SIGN BAR
74	maš		U+12226	CUNEIFORM SIGN MASH
74*	idigna			(U+12226 MASH plus U+12118 GU2 plus U+120FC GAR3)
74a	gidim2			(U+12226 MASH plus U+1230B U)
74	ban2		U+1244F	CUNEIFORM NUMERIC SIGN ONE BAN2
75	nu		U+12261	CUNEIFORM SIGN NU
76	maš2		U+12227	CUNEIFORM SIGN MASH2
77	kun		U+121B2	CUNEIFORM SIGN KUN
78	mušen		U+12137	CUNEIFORM SIGN HU
78*	u5			(U+12137 HU plus U+122DB SI)
