Q120264817	34	o0002231
Q120265199	33	o0002222
Q120270213	56	o0001466
Q120270450	57	o0001469
Q120271361	81	o0000230
Q120271766	89	o0002337
Q120274927	154	o0002193
Q120275213	155	o0002198
Q120276734	243	o0002461
Q120301012	267	o0002468
Q120301824	262	o0001511
Q120303475	265	o0001516
Q120304566	286	o0001772
Q120349250	318	o0002643
Q120352447	300	o0002323
Q120352664	303	o0002304
Q120353484	305	o0002327
Q121300333	219	o0002412
Q121467709	63a	o0002125
Q121507191	53	o0001470
Q121512192	279	o0000097
Q122416425	222	o0002488
Q122416691	158	o0001383
Q122416728	123	o0002066
Q20639233	187	o0000112
Q87554995	311	o0000087
Q87555015	93	o0000088
Q87555039	244	o0000090
Q87555043	245	o0000767
Q87555047	246	o0000771
Q87555052	108	o0000092
Q87555054	70	o0000093
Q87555061	160	o0000094
Q87555083	255	o0000097
Q87555089	94	o0000796
Q87555091	95	o0000642
Q87555101	28	o0000102
Q87555102	25	o0000595
Q87555112	209	o0223363
Q87555122	192	o0000110
Q87555126	4	o0000113
Q87555128	42	o0000114
Q87555142	48	o0000120
Q87555144	195	o0000121
Q87555146	140	o0000122
Q87555153	213	o0000124
Q87555162	199	o0000129
Q87555170	191	o0000132
Q87555171	152	o0000133
Q87555221	301	o0000134
Q87555223	83	o0000135
Q87555225	72	o0000136
Q87555229	266	o0000139
Q87555230	293	o0000140
Q87555232	68	o0000141
Q87555234	69	o0000978
Q87555236	257	o0000143
Q87555237	270	o0000144
Q87555241	276	o0000145
Q87555243	135	o0000149
Q87555245	136	o0000989
Q87555246	132	o0000150
Q87555248	133	o0000152
Q87555250	101	o0000153
Q87555253	201	o0000154
Q87555255	164	o0000155
Q87555260	271	o0000158
Q87555262	322	o0000160
Q87555265	198	o0000162
Q87555271	163	o0000166
Q87555276	174	o0000180
Q87555289	118	o0000167
Q87555293	306	o0000170
Q87555295	71	o0000173
Q87555310	226	o0000175
Q87555313	291	o0000178
Q87555324	114	o0001104
Q87555352	170	o0000187
Q87555355	148	o0000206
Q87555435	150	o0001319
Q87555460	117	o0000190
Q87555464	67	o0000193
Q87555467	194	o0000194
Q87555473	210	o0000196
Q87555475	105	o0000197
Q87555477	77	o0000199
Q87555480	78	o0000201
Q87555485	323	o0000202
Q87555487	186	o0000204
Q87555491	137a	o0000208
Q87555494	60	o0000210
Q87555501	39	o0001335
Q87555503	176	o0000219
Q87555508	177	o0001408
Q87555512	9	o0000213
Q87555516	259	o0000215
Q87555530	156	o0000217
Q87555533	142	o0001363
Q87555542	302	o0000221
Q87555547	79	o0000230
Q87555549	80	o0001431
Q87555559	159a	o0000222
Q87555563	120	o0001422
Q87555566	249	o0000224
Q87555568	129	o0000225
Q87555571	130	o0001424
Q87555573	84	o0000226
Q87555581	317	o0000232
Q87555585	197	o0000233
Q87555589	229	o0000237
Q87555594	238	o0001452
Q87555597	235	o0001453
Q87555604	234	o0001462
Q87555606	237	o0001464
Q87555612	52	o0000239
Q87555613	65	o0000240
Q87555624	66	o0001477
Q87555626	297	o0000241
Q87555628	103	o0000242
Q87555630	104	o0001478
Q87555632	289	o0000244
Q87555640	55	o0000246
Q87555641	261	o0000247
Q87555643	264	o0001487
Q87555645	263	o0001510
Q87555649	200	o0000248
Q87555651	134	o0000249
Q87555655	171	o0000252
Q87555658	236	o0000254
Q87555671	110	o0000256
Q87555672	147	o0000257
Q87555674	139	o0000259
Q87555676	15	o0000260
Q87555678	21	o0001611
Q87555693	20	o0001622
Q87555699	17	o0001626
Q87555734	19	o0001648
Q87555762	16	o0001675
Q87555781	99	o0000277
Q87555785	64	o0000263
Q87555788	37	o0000265
Q87555790	38	o0000266
Q87555792	205	o0000267
Q87555793	206	o0000268
Q87555797	145	o0000269
Q87555801	173	o0000228 o0000270
Q87555807	106	o0000272
Q87555811	116	o0000275
Q87555819	269	o0000279
Q87555828	166	o0000281
Q87555831	294	o0000282
Q87555835	149	o0000284
Q87555836	247	o0000286
Q87555846	290	o0000289
Q87555850	272	o0000296
Q87555860	45	o0000291
Q87555865	51	o0000293
Q87555867	211	o0000294
Q87555871	304	o0000295
Q87555876	27	o0000305
Q87555879	280	o0000306
Q87555881	285	o0001800
Q87555911	282	o0001778
Q87555922	18	o0001818
Q87555965	281	o0001832
Q87555973	283	o0001838
Q87555977	284	o0001788
Q87555990	268	o0000308
Q87555998	277	o0000422
Q87556000	278	o0000423
Q87556001	254	o0000424
Q87556003	254a	o0001906
Q87556007	31	o0000425
Q87556009	188	o0000426
Q87556011	91	o0000034
Q87556012	220	o0000431
Q87556014	292	o0000433
Q87556019	180	o0000439
Q87556070	196	o0000443
Q87556071	112	o0000434
Q87556079	172	o0000436
Q87556081	207	o0000437
Q87556083	307	o0000438
Q87556088	193	o0000444
Q87556095	88	o0000452
Q87556097	29	o0000446
Q87556098	162	o0000448
Q87556100	47	o0000449
Q87556102	50	o0000451
Q87556104	287	o0000453
Q87556105	168	o0000454 o0002837
Q87556107	248	o0000455
Q87556110	308a	o0000456
Q87556112	35	o0000457
Q87556114	119	o0002016
Q87556115	3	o0000458
Q87556122	216	o0000463
Q87556136	75	o0000466
Q87556143	74	o0000467
Q87556145	43	o0000469
Q87556146	250	o0000476
Q87556156	303a	o0000473
Q87556160	54	o0000474
Q87556164	122	o0000477
Q87556169	124	o0000478
Q87556171	146	o0000479
Q87556177	251	o0000482
Q87556179	252	o0002081
Q87556181	253	o0002080
Q87556184	125	o0002095
Q87556193	126	o0002109
Q87556197	127	o0002118
Q87556208	189	o0000462
Q87556210	49	o0000487
Q87556213	63	o0000488
Q87556225	175	o0002123
Q87556257	153	o0000497
Q87556259	273	o0000498
Q87556261	256	o0000499
Q87556262	32	o0000500
Q87556267	223	o0000502
Q87556291	96	o0002244
Q87556293	97	o0002245
Q87556297	178	o0000510
Q87556298	111	o0000511
Q87556300	61	o0000514
Q87556302	41	o0000516
Q87556305	76	o0000517
Q87556308	87	o0000518
Q87556344	179	o0000519
Q87556346	298	o0000522
Q87556352	184	o0000524
Q87556353	202	o0002824
Q87556356	224	o0002828
Q87556372	208	o0002829
Q87556376	230	o0002827
Q87556378	212	o0002831
Q87556380	214	o0002714
Q87556387	7	o0002833
Q87556389	182	o0002834
Q87556395	167	o0002837
Q87556400	141	o0002838
Q87556422	44	o0000491 o0002840
Q87556429	203	o0002845
Q87556433	296	o0002850
Q87556435	26	o0002848
Q87556437	85	o0000525
Q87556439	86	o0000526
Q87556442	320	o0000527
Q87556447	295	o0000529
Q87556449	36	o0000530
Q87556450	6	o0000531
Q87556455	215	o0000532
Q87556457	58	o0000534
Q87556460	240	o0000535
Q87556461	115	o0000536
Q87556466	73	o0000539
Q87556470	102	o0000541
Q87556473	82	o0002407
Q87556478	90	o0000544
Q87556484	92	o0000546
Q87556492	40	o0000547
Q87556493	11	o0000548
Q87556494	218	o0000550
Q87556496	46	o0000554
Q87556503	217	o0002726
Q87556511	30	o0000556
Q87556515	309	o0000558
Q87556517	137	o0000559
Q87556519	107	o0000560
Q87556522	242	o0000561
Q87556524	258	o0002459
Q87556527	275	o0002471
Q87556536	169	o0000599
Q87556538	161	o0000564
Q87556540	221	o0000565
Q87556541	225	o0002500
Q87556559	100	o0000571
Q87556575	190	o0000138
Q87556578	165	o0000574 o0000575
Q87556582	310	o0000576
Q87556588	131	o0000585
Q87556610	321	o0000588
Q87556617	22	o0000582
Q87556650	24	o0002572
Q87556667	98	o0000584
Q87556672	138	o0000595
Q87556696	121	o0000592
Q87556699	316	o0000603
Q87556705	185	o0000605
Q87556711	109	o0000608
Q87556712	59	o0000609
Q87556719	228	o0000870
Q87556723	128	o0000611
Q87556728	5	o0000614
Q87556735	299	o0000617
Q87556765	260	o0000212
Q87556767	239	o0001444
Q87556799	288	o0002011
Q87556803	143	o0002079
Q87556818	227	o0032009
Q87556822	231	o0027220
Q87556828	274	o0002475
Q87556851	324	o0000052
Q87556853	325	o0000062
