MesZL	KWU	Characterqid	Character
		Q122811328	CUNEIFORM SIGN HI.A (𒄭 & 𒀀)
		Q122924604	CUNEIFORM SIGN HI.SUHUR (𒄭 & 𒋦)
		Q123302196	CUNEIFORM SIGN HU.UR3 (𒄷 & 𒃡)
733	565	Q120303475	CUNEIFORM SIGN HUL (𒅆 & 𒌨)
734	566	Q120303812	CUNEIFORM SIGN HUL4 (𒅆 & 𒌪)
513		Q120275832	CUNEIFORM SIGN IA9 (𒀼 &  𒋰)
		Q122417286	CUNEIFORM SIGN ID2 (𒀀 & 𒇉)
124	104	Q120269385	CUNEIFORM SIGN IDIGNA (𒈦 & 𒄘 &  𒃼)
		Q123055614	CUNEIFORM SIGN IGI.NIGIN (𒅆 & 𒆸)
		Q122924635	CUNEIFORM SIGN IGI.SUHUR (𒅆 & 𒋦)
304		Q120273826	CUNEIFORM SIGN ILLAT (𒆜 & 𒆳)
		Q123227115	CUNEIFORM SIGN IN TIMES A (𒅔 × 𒀀)
837		Q120348480	CUNEIFORM SIGN ISZSZEBU (𒐈 & 𒎙)
303		Q120273608	CUNEIFORM SIGN ITI3 (𒆜 & 𒌚)
		Q123172038	CUNEIFORM SIGN KA TIMES GI (𒅗 × 𒄀)
		Q122914929	CUNEIFORM SIGN KA TIMES NI2 (𒅗 × 𒉎)
		Q122937039	CUNEIFORM SIGN KAB GUNU (𒆏@g)
		Q123159488	CUNEIFORM SIGN KAB TIMES DISH (𒆏 × 𒁹)
		Q122947584	CUNEIFORM SIGN KAK.GISH (𒆕 &  𒄑)
590	496	Q121300333	CUNEIFORM SIGN KAR (𒋼 & 𒀀)
306		Q120274220	CUNEIFORM SIGN KASKAL.AH (𒆜 & 𒄴)
305		Q120273981	CUNEIFORM SIGN KASKAL.BU (𒆜 & 𒁍)
		Q122935338	CUNEIFORM SIGN KASKAL.GA (𒆜 & 𒂵)
307		Q120274372	CUNEIFORM SIGN KASKAL.LAGAB (𒆜 & 𒆸)
871	510	Q120350444	CUNEIFORM SIGN KESH3 (𒋙 & 𒀭 & 𒄲)
		Q121507864	CUNEIFORM SIGN KID2 TIMES IM (𒋺 × 𒅎)
742		Q122674134	CUNEIFORM SIGN KIMIN (𒆠 & 𒈫)
		Q123159546	CUNEIFORM SIGN KINGAL (𒃲 & 𒌺)
		Q122914856	CUNEIFORM SIGN KISAL TIMES UD (𒆦 × 𒌓)
		Q123301750	CUNEIFORM SIGN KITI (𒁍 × 𒌦)
872		Q120350667	CUNEIFORM SIGN KUNGA (𒋙 & 𒀯)
123	674	Q120269076	CUNEIFORM SIGN KUNGA2 (𒁇 &  𒀭)
735	561	Q120303999	CUNEIFORM SIGN KURUM7 (𒅆 & 𒃻)
710		Q120300730	CUNEIFORM SIGN KUSHU (𒌋 & 𒄊 /  𒊊)
		Q122924041	CUNEIFORM SIGN KUSHU2 TIMES SAL (𒆵 × 𒊩)
		Q122938827	CUNEIFORM SIGN LAGAB TIMES ASH2 (𒆸 × 𒀾)
		Q123159569	CUNEIFORM SIGN LAGAB TIMES BANSHUR (𒆸 × 𒍎)
		Q123158273	CUNEIFORM SIGN LAGAB TIMES DU6 (𒆸 × 𒇯)
		Q122914844	CUNEIFORM SIGN LAGAB TIMES GAN2 (𒆸 × 𒃷)
		Q123158295	CUNEIFORM SIGN LAGAB TIMES HI (𒆸 × 𒄭)
		Q123159601	CUNEIFORM SIGN LAGAB TIMES KUSHU2 (𒆸 × 𒆵)
		Q123158304	CUNEIFORM SIGN LAGAB TIMES ME (𒆸 × 𒈨)
		Q123159606	CUNEIFORM SIGN LAGAB TIMES NUN (𒆸 × 𒉣)
		Q123158310	CUNEIFORM SIGN LAGAB TIMES PA (𒆸 × 𒉺)
		Q123159608	CUNEIFORM SIGN LAGAB TIMES SHA (𒆸 × 𒊭)
		Q123159610	CUNEIFORM SIGN LAGAB TIMES SHITA (𒆸 × 𒋖)
		Q122914827	CUNEIFORM SIGN LAGAB TIMES SHU (𒆸 × 𒋗)
		Q123159631	CUNEIFORM SIGN LAGAB TIMES TAR (𒆸 × 𒋻)
		Q122937105	CUNEIFORM SIGN LAGAB TIMES TIL (𒆸 × 𒌀)
		Q123165174	CUNEIFORM SIGN LAGAB TIMES ZATU 753 (𒆸 × 𒓯)
		Q123289028	CUNEIFORM SIGN LAGAB TIMES ZATU 766 (𒆸 × ZATU 766)
