MesZL	KWU	Characterqid	Character
		Q123273577	CUNEIFORM SIGN N-29
		Q123270956	CUNEIFORM SIGN N-3
		Q123273586	CUNEIFORM SIGN N-30
		Q123273595	CUNEIFORM SIGN N-31
		Q123273606	CUNEIFORM SIGN N-32
		Q123273612	CUNEIFORM SIGN N-33
		Q123273625	CUNEIFORM SIGN N-34
		Q123273716	CUNEIFORM SIGN N-34 GUNU
		Q123273727	CUNEIFORM SIGN N-34 TENU VARIANT 1
		Q123274226	CUNEIFORM SIGN N-34 TENU VARIANT 2
		Q123273653	CUNEIFORM SIGN N-35
		Q123273663	CUNEIFORM SIGN N-36
		Q123273675	CUNEIFORM SIGN N-37
		Q123274138	CUNEIFORM SIGN N-39a GUNU
		Q123270982	CUNEIFORM SIGN N-4
		Q123273745	CUNEIFORM SIGN N-40
		Q123273772	CUNEIFORM SIGN N-41
		Q123273828	CUNEIFORM SIGN N-42
		Q123274341	CUNEIFORM SIGN N-44
		Q123274400	CUNEIFORM SIGN N-45
		Q123274558	CUNEIFORM SIGN N-46
		Q123274574	CUNEIFORM SIGN N-47
		Q123274581	CUNEIFORM SIGN N-48
		Q123274602	CUNEIFORM SIGN N-49
		Q123271015	CUNEIFORM SIGN N-5
		Q123274606	CUNEIFORM SIGN N-50
		Q123274618	CUNEIFORM SIGN N-51
		Q123274646	CUNEIFORM SIGN N-51 GUNU
		Q123274655	CUNEIFORM SIGN N-53
		Q123274669	CUNEIFORM SIGN N-54
		Q123274678	CUNEIFORM SIGN N-55
		Q123274693	CUNEIFORM SIGN N-56
		Q123274729	CUNEIFORM SIGN N-57
		Q123274827	CUNEIFORM SIGN N-58
		Q123294227	CUNEIFORM SIGN N-59
		Q123294276	CUNEIFORM SIGN N-60
		Q123271035	CUNEIFORM SIGN N-7
		Q123271396	CUNEIFORM SIGN N-8
		Q123271406	CUNEIFORM SIGN N-9
		Q123159959	CUNEIFORM SIGN NAM2 GUNU (𒉇@g)
	33	Q121506878	CUNEIFORM SIGN NANNA (𒋀 & 𒆠)
		Q122923500	CUNEIFORM SIGN NE TIMES KASKAL (𒉈 × 𒆜)
		Q122923665	CUNEIFORM SIGN NE TIMES PAP (𒉈 × 𒉽)
806		Q120305042	CUNEIFORM SIGN NENNI (𒇧 & 𒇧)
		Q123302447	CUNEIFORM SIGN NERGAL_X (𒄊 × 𒀊)
		Q123159968	CUNEIFORM SIGN NI GUNU (𒉌@g)
		Q123260165	CUNEIFORM SIGN NI GUNU TIMES HI GUNU (𒉌@g  × 𒄭@g)
		Q122937244	CUNEIFORM SIGN NI.TUK (𒉌 & 𒌇)
		Q123089274	CUNEIFORM SIGN NIDBA (𒉻 & 𒀭 & 𒈹)
898		Q120353484	CUNEIFORM SIGN NIG (𒊩 & 𒌨)
804		Q120304566	CUNEIFORM SIGN NIGIN (𒆸 & 𒆸)
707	512	Q120299003	CUNEIFORM SIGN NIGIN3 (𒌋 & 𒌓 & 𒆤)
706	511	Q120280220	CUNEIFORM SIGN NIGIN4 (𒌋 & 𒌓)
887	796	Q120352447	CUNEIFORM SIGN NIN (𒊩 & 𒌆)
886	795a	Q120352183	CUNEIFORM SIGN NIN9 (𒊩 & 𒆪)
		Q122912562	CUNEIFORM SIGN NINDA2 TIMES 2(DISH) (𒉒 × 𒁹𒁹)
		Q123159978	CUNEIFORM SIGN NINDA2 TIMES BA (𒉒 × 𒁀)
		Q123159983	CUNEIFORM SIGN NINDA2 TIMES EZEN (𒉒 × 𒂡)
		Q123159988	CUNEIFORM SIGN NINDA2 TIMES GAR (𒉒 × 𒃻)
		Q123165638	CUNEIFORM SIGN NINDA2 TIMES GUDU4 (𒉒 × (𒄴 & 𒈨))
		Q122917091	CUNEIFORM SIGN NINDA2 TIMES KUL (𒉒 × 𒆰)
		Q123160006	CUNEIFORM SIGN NINDA2 TIMES MAR (𒉒 × 𒈥)
		Q123165759	CUNEIFORM SIGN NINDA2 TIMES UD (𒉒 × 𒌓)
		Q123227403	CUNEIFORM SIGN NINDA2 TIMES UDU TIMES TAR (𒉒 × 𒌓 × 𒋻)
		Q123260103	CUNEIFORM SIGN NIR TIMES AN (𒉪 × 𒀭)
		Q123160015	CUNEIFORM SIGN NU GUNU (𒉡@g)
102	128	Q120266638	CUNEIFORM SIGN NUMUN2 (𒍤 & 𒆸)
		Q123165797	CUNEIFORM SIGN NUN TIMES A (𒉣 × 𒀀)
467	200	Q120275077	CUNEIFORM SIGN NUSKA (𒉺 & 𒌆)
96		Q120266031	CUNEIFORM SIGN PA5 (𒉽 & 𒂊)
95		Q120265753	CUNEIFORM SIGN PA6 (𒉽 & 𒅖)
725	558	Q120301824	CUNEIFORM SIGN PAD3 (𒅆 & 𒊒)
		Q122935201	CUNEIFORM SIGN PIRIG TIMES PA.LAGAB
		Q122912664	CUNEIFORM SIGN PIRIG TIMES SHE (𒊊 × 𒊺)
93		Q120265199	CUNEIFORM SIGN PUSH2 (𒉽 & 𒄬)
		Q122526761	CUNEIFORM SIGN RIG7 (𒉺 & 𒄸 & 𒁺)
138	113	Q120270450	CUNEIFORM SIGN SA4 (𒄷 & 𒈿)
		Q123160046	CUNEIFORM SIGN SAG NUTILLU (𒊕@n)
		Q123260074	CUNEIFORM SIGN SAG TIMES GESHTU (𒔮 × 𒉿)
		Q123165831	CUNEIFORM SIGN SAG TIMES HA (𒊬 × 𒄩)
		Q123165818	CUNEIFORM SIGN SAG TIMES MA (𒊕 × 𒈠)
		Q122914753	CUNEIFORM SIGN SAG TIMES NI (𒊕 × 𒉌)
194	430	Q122759052	CUNEIFORM SIGN SAG TIMES SIG7 (𒊕 × 𒅊)
671	513	Q120279846	CUNEIFORM SIGN SAGSHU (𒌋 & 𒊕)
		Q122917031	CUNEIFORM SIGN SAL TIMES KUR (𒊩 × 𒆳)
		Q122937223	CUNEIFORM SIGN SAL.ASH2 (𒊩 & 𒀾)
		Q122923716	CUNEIFORM SIGN SAR TIMES ZIZ2 (𒊬 × 𒍩)
		Q123160126	CUNEIFORM SIGN SHA GUNU (𒊭@g)
		Q123227531	CUNEIFORM SIGN SHA TIMES HI GUNU (𒊭 × 𒄭@g)
466	198	Q120274927	CUNEIFORM SIGN SHAB (𒉺 & 𒅁)
		Q122434367	CUNEIFORM SIGN SHABRA (𒉺 & 𒀠)
684	547	Q120279987	CUNEIFORM SIGN SHAGAN (𒌋 & 𒃶)
		Q123259464	CUNEIFORM SIGN SHAGINA (𒄊 × 𒀴)
		Q122914966	CUNEIFORM SIGN SHAR2 TIMES HA (𒊹 × 𒄩)
		Q121511631	CUNEIFORM SIGN SHE & SUHUR (𒊺 & 𒋦)
		Q123167543	CUNEIFORM SIGN SHE TIMES KIN2 (𒊺 × 𒄯)
		Q123227594	CUNEIFORM SIGN SHE TIMES NAM2 (𒊺 × 𒉇)
		Q123167563	CUNEIFORM SIGN SHE3 TENU (𒂠@t)
		Q123305666	CUNEIFORM SIGN SHELU (𒊺 & 𒈖)
		Q122915419	CUNEIFORM SIGN SHESH2 GUNU (𒋁@g)
666		Q120278438	CUNEIFORM SIGN SHIBIR (𒌋 & 𒂘)
		Q122915053	CUNEIFORM SIGN SHIM GUNU (𒋆@g)
		Q122937138	CUNEIFORM SIGN SHIM GUNU TIMES KUSHU2 (𒋆@g × 𒆵)
		Q122915045	CUNEIFORM SIGN SHIM GUNU TIMES PI (𒋆@g × 𒉿)
		Q122915069	CUNEIFORM SIGN SHIM TIMES PI (𒋆 × 𒉿)
		Q123167638	CUNEIFORM SIGN SHITA TIMES SHU (𒋖 × 𒋗)
		Q123287177	CUNEIFORM SIGN SHITA TIMES ZATU 659 (𒋖 × ZATU 659)
434		Q120274725	CUNEIFORM SIGN SHITA2 (𒋖 & 𒄑)
880	570	Q120352006	CUNEIFORM SIGN SHU2 & UR SHESHIG (𒋙 & 𒌪)
		Q123259189	CUNEIFORM SIGN SHU2 TIMES EN (𒋙 × 𒂗)
		Q123259169	CUNEIFORM SIGN SHU2 TIMES UD (𒋙 × 𒌓)
		Q122936968	CUNEIFORM SIGN SHU2.E2 (𒋙 & 𒂍)
		Q123250686	CUNEIFORM SIGN SHUNIGIN (𒋗 & 𒃸)
		Q123165897	CUNEIFORM SIGN SI TIMES GU4 (𒋛 × 𒄞)
		Q123165921	CUNEIFORM SIGN SI TIMES SHE3 (𒋛 × 𒂠)
		Q123165963	CUNEIFORM SIGN SIG2 TIMES U (𒋠 × 𒌋)
729	559	Q120302799	CUNEIFORM SIGN SIG5 (𒅆 & 𒂟)
161		Q120271196	CUNEIFORM SIGN SIG8 (𒃰 & 𒋺 & 𒄑)
		Q123166608	CUNEIFORM SIGN SILA3 TIMES A (𒋡 × 𒀀)
		Q123166613	CUNEIFORM SIGN SILA3 TIMES DUG (𒋡 × 𒂁)
		Q123166670	CUNEIFORM SIGN SILA3 TIMES GA (𒋡 × 𒂵)
		Q123166677	CUNEIFORM SIGN SILA3 TIMES GAR (𒋡 × 𒃻)
		Q123166689	CUNEIFORM SIGN SILA3 TIMES GARA2 (𒋡 × 𒂶)
		Q123166704	CUNEIFORM SIGN SILA3 TIMES GESHTU (𒋡 × 𒉿)
		Q123166713	CUNEIFORM SIGN SILA3 TIMES HI (𒋡 × 𒄭)
		Q123166726	CUNEIFORM SIGN SILA3 TIMES HI GUNU (𒋡 × 𒄭@g)
		Q123166740	CUNEIFORM SIGN SILA3 TIMES IB (𒋡 × 𒅁)
		Q123166797	CUNEIFORM SIGN SILA3 TIMES KASH (𒋡 × 𒁉)
		Q123166807	CUNEIFORM SIGN SILA3 TIMES KUR (𒋡 × 𒆳)
		Q123166812	CUNEIFORM SIGN SILA3 TIMES MASH (𒋡 × 𒈦)
		Q123166855	CUNEIFORM SIGN SILA3 TIMES NAGA (𒋡 × 𒉀)
		Q123166860	CUNEIFORM SIGN SILA3 TIMES NI (𒋡 × 𒉌)
		Q123259937	CUNEIFORM SIGN SILA3 TIMES PESH3 (𒋡 × 𒈠)
		Q123166900	CUNEIFORM SIGN SILA3 TIMES SHE (𒋡 × 𒊺)
		Q123166918	CUNEIFORM SIGN SILA3 TIMES SHU (𒋡 × 𒋗)
		Q123166925	CUNEIFORM SIGN SILA3 TIMES SHU2 (𒋡 × 𒋙)
		Q123166896	CUNEIFORM SIGN SILA3 TIMES SUM (𒋡 × 𒋧)
		Q123166938	CUNEIFORM SIGN SILA3 TIMES UD5 (𒋡 × 𒍚)
		Q123289477	CUNEIFORM SIGN SILA3 TIMES ZATU 687 (𒋡 × ZATU 687)
468		Q120275213	CUNEIFORM SIGN SIPA (𒉺 & 𒇻)
		Q123259685	CUNEIFORM SIGN SU TIMES DISH (𒋢 × 𒁹)
		Q122936619	CUNEIFORM SIGN SU.KUR.RU (𒋢 & 𒆳 & 𒊒)
		Q123160028	CUNEIFORM SIGN SUD2 GUNU (𒋥@g)
206		Q122587426	CUNEIFORM SIGN SUR10 (𒈣 & 𒅊)
		Q123304264	CUNEIFORM SIGN SUSA (𒈹 & 𒂞)
873		Q120350764	CUNEIFORM SIGN SZEG8 (𒋙 & 𒉀)
876	503	Q120351595	CUNEIFORM SIGN SZUDUN (𒋙 & 𒂈)
		Q122936835	CUNEIFORM SIGN TE.ME (𒋼 & 𒈨)
		Q123259041	CUNEIFORM SIGN TIDNUM (𒄊 & 𒊊 )
		Q123088120	CUNEIFORM SIGN TU5 (𒋗 & 𒉀)
		Q123167764	CUNEIFORM SIGN TUG2 GUNU (𒌆@g)
		Q123227852	CUNEIFORM SIGN TUG2 GUNU TIMES BAD OVER BAD (𒌆@g × 𒁁 / 𒁁)
		Q123227818	CUNEIFORM SIGN TUG2 TIMES BAD OVER BAD (𒌆 × 𒁁 / 𒁁 )
894		Q120352933	CUNEIFORM SIGN TUGUL (𒉄 & 𒍞)
145	131	Q121467709	CUNEIFORM SIGN TUR3 (𒉣 & 𒇬)
670	334	Q120279699	CUNEIFORM SIGN U.DAR (𒌋 & 𒁯)
700		Q121302193	CUNEIFORM SIGN U.GA (𒌋 & 𒂵)
669		Q120279469	CUNEIFORM SIGN U.GUR (𒌋 & 𒄥)
699		Q121302163	CUNEIFORM SIGN U.KID (𒌋 & 𒆤)
	509	Q122937009	CUNEIFORM SIGN U.SHA (𒌋 & 𒊭)
709		Q120300483	CUNEIFORM SIGN U.U-GUNU (𒌋 & 𒐴)
133	114	Q121507191	CUNEIFORM SIGN U5 (𒄷 & 𒋛)
728		Q120302402	CUNEIFORM SIGN U6 (𒅆 & 𒂍)
		Q123167896	CUNEIFORM SIGN UD TIMES DUB (𒌓 × 𒁾)
		Q122947612	CUNEIFORM SIGN UD TIMES PAP (𒌓 × 𒉽)
		Q123167940	CUNEIFORM SIGN UD TIMES SHU2 (𒌓 × 𒋙)
		Q122936763	CUNEIFORM SIGN UD.KA.ASH (𒌓 & 𒅗 & 𒀸)
610		Q120275994	CUNEIFORM SIGN UD.MUNUS.HUB2 (𒌓 & 𒊩 &  𒄸)
		Q123089390	CUNEIFORM SIGN UD.SHA (𒌓 & 𒊭)
		Q123167958	CUNEIFORM SIGN UDU TIMES TAR (𒌓 × 𒋻)
665		Q120278114	CUNEIFORM SIGN UDUN (𒌋 & 𒈬)
		Q123258971	CUNEIFORM SIGN UDUNITA (𒇻 & 𒍑)
663	514	Q120276734	CUNEIFORM SIGN UGU (𒌋 & 𒅗)
		Q123119365	CUNEIFORM SIGN UMMA (𒄑 & 𒆵)
		Q123167974	CUNEIFORM SIGN UNUG SHESHIG (𒀕@s)
		Q123287146	CUNEIFORM SIGN UNUG.A (𒀕 & 𒀀)
		Q123167988	CUNEIFORM SIGN UR GUNU (𒌨@g)
		Q123168008	CUNEIFORM SIGN UR2 TIMES ASH (𒌫 × 𒀸)
		Q123168024	CUNEIFORM SIGN UR2 TIMES TAR (𒌫 × 𒋻)
		Q123287123	CUNEIFORM SIGN URI5 (𒋀 & 𒀊)
		Q123227898	CUNEIFORM SIGN URU TIMES AMAR (𒌷 × 𒀫)
		Q123227941	CUNEIFORM SIGN URU TIMES KALAM (𒌷 × 𒌦)
		Q123228020	CUNEIFORM SIGN URU TIMES NIMGIR (𒌷 × 𒂇)
		Q122915157	CUNEIFORM SIGN URU TIMES U2 TENU
		Q123168060	CUNEIFORM SIGN URUDA GUNU (𒍏@g)
510		Q120275399	CUNEIFORM SIGN USAN2.GAG (𒄝 &  𒆕)
		Q123250303	CUNEIFORM SIGN USH TIMES TAR (𒍑 × 𒋻)
		Q123286946	CUNEIFORM SIGN USHUMGAL (𒃲 & 𒁔)
		Q123034767	CUNEIFORM SIGN ZABAR (𒌓 & 𒅗 & 𒁇)
		Q123250254	CUNEIFORM SIGN ZATU 619
		Q123250247	CUNEIFORM SIGN ZATU 620
		Q123250239	CUNEIFORM SIGN ZATU 621
		Q123250221	CUNEIFORM SIGN ZATU 622
		Q123250207	CUNEIFORM SIGN ZATU 624
		Q123250187	CUNEIFORM SIGN ZATU 625
		Q123250182	CUNEIFORM SIGN ZATU 626
		Q123250177	CUNEIFORM SIGN ZATU 627
		Q123250172	CUNEIFORM SIGN ZATU 628
		Q123250164	CUNEIFORM SIGN ZATU 629
		Q123250158	CUNEIFORM SIGN ZATU 630
		Q123250152	CUNEIFORM SIGN ZATU 631
		Q123250147	CUNEIFORM SIGN ZATU 632
		Q123250141	CUNEIFORM SIGN ZATU 633
		Q123250133	CUNEIFORM SIGN ZATU 634
		Q123250131	CUNEIFORM SIGN ZATU 635
		Q123250031	CUNEIFORM SIGN ZATU 636
		Q123250024	CUNEIFORM SIGN ZATU 637
		Q123250016	CUNEIFORM SIGN ZATU 638
		Q123250009	CUNEIFORM SIGN ZATU 639
		Q123250001	CUNEIFORM SIGN ZATU 640
		Q123249994	CUNEIFORM SIGN ZATU 641
		Q123249853	CUNEIFORM SIGN ZATU 642
		Q123249846	CUNEIFORM SIGN ZATU 643
		Q123249840	CUNEIFORM SIGN ZATU 645
		Q123249834	CUNEIFORM SIGN ZATU 646
		Q123249828	CUNEIFORM SIGN ZATU 647
		Q123249820	CUNEIFORM SIGN ZATU 648
		Q123249749	CUNEIFORM SIGN ZATU 649
		Q123249757	CUNEIFORM SIGN ZATU 650
		Q123249676	CUNEIFORM SIGN ZATU 651
		Q123249498	CUNEIFORM SIGN ZATU 651 GUNU
		Q123249658	CUNEIFORM SIGN ZATU 652
		Q123249531	CUNEIFORM SIGN ZATU 654
		Q123249522	CUNEIFORM SIGN ZATU 655
		Q123249514	CUNEIFORM SIGN ZATU 656
		Q123249510	CUNEIFORM SIGN ZATU 657
		Q123249488	CUNEIFORM SIGN ZATU 659
		Q123249484	CUNEIFORM SIGN ZATU 660
		Q123249428	CUNEIFORM SIGN ZATU 661
		Q123249421	CUNEIFORM SIGN ZATU 662
		Q123249402	CUNEIFORM SIGN ZATU 664
		Q123249399	CUNEIFORM SIGN ZATU 665
		Q123249394	CUNEIFORM SIGN ZATU 666
		Q123249387	CUNEIFORM SIGN ZATU 667
		Q123249381	CUNEIFORM SIGN ZATU 668
		Q123249351	CUNEIFORM SIGN ZATU 669
		Q123249345	CUNEIFORM SIGN ZATU 670
		Q123249339	CUNEIFORM SIGN ZATU 672
		Q123249333	CUNEIFORM SIGN ZATU 673
		Q123249328	CUNEIFORM SIGN ZATU 674
		Q123249320	CUNEIFORM SIGN ZATU 675
		Q123249316	CUNEIFORM SIGN ZATU 676
		Q123249310	CUNEIFORM SIGN ZATU 677
		Q123249300	CUNEIFORM SIGN ZATU 678
		Q123249294	CUNEIFORM SIGN ZATU 679
		Q123249286	CUNEIFORM SIGN ZATU 680
		Q123249280	CUNEIFORM SIGN ZATU 681
		Q123249273	CUNEIFORM SIGN ZATU 682
		Q123249266	CUNEIFORM SIGN ZATU 683
		Q123249261	CUNEIFORM SIGN ZATU 684
		Q123249248	CUNEIFORM SIGN ZATU 685
		Q123249231	CUNEIFORM SIGN ZATU 687
		Q123249204	CUNEIFORM SIGN ZATU 688
		Q123249164	CUNEIFORM SIGN ZATU 689
		Q123249135	CUNEIFORM SIGN ZATU 690
		Q123249126	CUNEIFORM SIGN ZATU 691
		Q123249119	CUNEIFORM SIGN ZATU 692
		Q123249109	CUNEIFORM SIGN ZATU 693
		Q123249093	CUNEIFORM SIGN ZATU 694
		Q123249036	CUNEIFORM SIGN ZATU 695
		Q123249007	CUNEIFORM SIGN ZATU 696
		Q123248983	CUNEIFORM SIGN ZATU 697
		Q123248930	CUNEIFORM SIGN ZATU 698
		Q123248912	CUNEIFORM SIGN ZATU 699
		Q123248899	CUNEIFORM SIGN ZATU 700
		Q123248851	CUNEIFORM SIGN ZATU 701
		Q123248836	CUNEIFORM SIGN ZATU 702
		Q123248825	CUNEIFORM SIGN ZATU 703
		Q123248793	CUNEIFORM SIGN ZATU 704
		Q123248786	CUNEIFORM SIGN ZATU 705
		Q123248778	CUNEIFORM SIGN ZATU 706
		Q123248748	CUNEIFORM SIGN ZATU 707
		Q123248728	CUNEIFORM SIGN ZATU 708
		Q123248723	CUNEIFORM SIGN ZATU 709
		Q123248715	CUNEIFORM SIGN ZATU 710
		Q123248704	CUNEIFORM SIGN ZATU 711
		Q123248693	CUNEIFORM SIGN ZATU 712
		Q123248650	CUNEIFORM SIGN ZATU 713
		Q123248644	CUNEIFORM SIGN ZATU 714
		Q123248633	CUNEIFORM SIGN ZATU 715
		Q123248583	CUNEIFORM SIGN ZATU 716
		Q123248575	CUNEIFORM SIGN ZATU 717
		Q123248528	CUNEIFORM SIGN ZATU 718
		Q123248521	CUNEIFORM SIGN ZATU 719
		Q123248506	CUNEIFORM SIGN ZATU 720
		Q123248463	CUNEIFORM SIGN ZATU 721
		Q123248450	CUNEIFORM SIGN ZATU 722
		Q123248442	CUNEIFORM SIGN ZATU 723
		Q123248107	CUNEIFORM SIGN ZATU 724
		Q123248084	CUNEIFORM SIGN ZATU 726
		Q123248059	CUNEIFORM SIGN ZATU 727
		Q123248053	CUNEIFORM SIGN ZATU 728
		Q123248005	CUNEIFORM SIGN ZATU 730
		Q123247998	CUNEIFORM SIGN ZATU 731
		Q123247992	CUNEIFORM SIGN ZATU 732
		Q123247984	CUNEIFORM SIGN ZATU 733
		Q123247973	CUNEIFORM SIGN ZATU 734
		Q123247957	CUNEIFORM SIGN ZATU 735
		Q123247865	CUNEIFORM SIGN ZATU 736
		Q123247816	CUNEIFORM SIGN ZATU 737
		Q123247792	CUNEIFORM SIGN ZATU 738
		Q123247780	CUNEIFORM SIGN ZATU 740
		Q123247681	CUNEIFORM SIGN ZATU 742
		Q123247669	CUNEIFORM SIGN ZATU 744
		Q123244120	CUNEIFORM SIGN ZATU 745
		Q123244107	CUNEIFORM SIGN ZATU 746
		Q123244032	CUNEIFORM SIGN ZATU 748
		Q123244025	CUNEIFORM SIGN ZATU 749
		Q123240736	CUNEIFORM SIGN ZATU 750
		Q123240721	CUNEIFORM SIGN ZATU 751
		Q123240716	CUNEIFORM SIGN ZATU 752
		Q123240698	CUNEIFORM SIGN ZATU 754
		Q123240684	CUNEIFORM SIGN ZATU 755
		Q123240671	CUNEIFORM SIGN ZATU 756
		Q123240663	CUNEIFORM SIGN ZATU 757
		Q123240651	CUNEIFORM SIGN ZATU 758
		Q123240642	CUNEIFORM SIGN ZATU 759
		Q123240639	CUNEIFORM SIGN ZATU 760
		Q123240568	CUNEIFORM SIGN ZATU 761
		Q123240526	CUNEIFORM SIGN ZATU 762
		Q123240466	CUNEIFORM SIGN ZATU 763
		Q123240462	CUNEIFORM SIGN ZATU 764
		Q123240401	CUNEIFORM SIGN ZATU 765
		Q123240382	CUNEIFORM SIGN ZATU 766
		Q123240378	CUNEIFORM SIGN ZATU 767
		Q123240362	CUNEIFORM SIGN ZATU 768
		Q123240352	CUNEIFORM SIGN ZATU 769
		Q123239815	CUNEIFORM SIGN ZATU 770
		Q123239806	CUNEIFORM SIGN ZATU 771
104		Q120268631	CUNEIFORM SIGN ZI OVER ZI & A (𒍤 & 𒀀)
103		Q120268108	CUNEIFORM SIGN ZI OVER ZI & ESH2 (𒍤 & 𒂠)
308		Q120274525	CUNEIFORM SIGN ZIKURA (𒆜 & 𒐋)
	410	Q122924547	CUNEIFORM SIGN ZU.AB (𒍪 & 𒀊)
		Q123281597	Cuneiform Sign Variant UD KUSHU2 (Old Babylonian)
		Q123259394	SHITA GUNU TIMES NI (𒓮 × 𒉌)
839	901	Q87554995	𒀀  CUNEIFORM SIGN A (U+12000)
845		Q87554997	𒀁  CUNEIFORM SIGN A TIMES A (U+12001)
840		Q87554999	𒀂  CUNEIFORM SIGN A TIMES BAD (U+12002)
839		Q87555001	𒀃  CUNEIFORM SIGN A TIMES GAN2 TENU (U+12003)
846	907	Q87555003	𒀄  CUNEIFORM SIGN A TIMES HA (U+12004)
844		Q87555005	𒀅  CUNEIFORM SIGN A TIMES IGI (U+12005)
843		Q87555007	𒀆  CUNEIFORM SIGN A TIMES LAGAR GUNU (U+12006)
842	905	Q87555010	𒀇  CUNEIFORM SIGN A TIMES MUSH (U+12007)
841		Q87555012	𒀈  CUNEIFORM SIGN A TIMES SAG (U+12008)
560	326	Q20639233	𒀉  CUNEIFORM SIGN A2 (U+12009)
223	821	Q87555015	𒀊  CUNEIFORM SIGN AB (U+1200A)
227		Q87555017	𒀋  CUNEIFORM SIGN AB TIMES ASH2 (U+1200B)
235		Q87555019	𒀌  CUNEIFORM SIGN AB TIMES DUN3 GUNU (U+1200C)
228		Q87555021	𒀍  CUNEIFORM SIGN AB TIMES GAL (U+1200D)
225		Q87555022	𒀎  CUNEIFORM SIGN AB TIMES GAN2 TENU (U+1200E)
236	829	Q87555024	𒀏  CUNEIFORM SIGN AB TIMES HA (U+1200F)
229		Q87555026	𒀐  CUNEIFORM SIGN AB TIMES IGI GUNU (U+12010)
237		Q87555028	𒀑  CUNEIFORM SIGN AB TIMES IMIN (U+12011)
234		Q87555029	𒀒  CUNEIFORM SIGN AB TIMES LAGAB (U+12012)
226		Q87555034	𒀓  CUNEIFORM SIGN AB TIMES SHESH (U+12013)
232	826	Q87555035	𒀔  CUNEIFORM SIGN AB TIMES U PLUS U PLUS U (U+12014)
232	826	Q87555037	𒀕  CUNEIFORM SIGN AB GUNU (U+12015)
672	515	Q87555039	𒀖  CUNEIFORM SIGN AB2 (U+12016)
676		Q87555041	𒀗  CUNEIFORM SIGN AB2 TIMES BALAG (U+12017)
674		Q87555043	𒀘  CUNEIFORM SIGN AB2 TIMES GAN2 TENU (U+12018)
679		Q87555045	𒀙  CUNEIFORM SIGN AB2 TIMES ME PLUS EN (U+12019)
677	517	Q87555047	𒀚  CUNEIFORM SIGN AB2 TIMES SHA3 (U+1201A)
673	518	Q87555050	𒀛  CUNEIFORM SIGN AB2 TIMES TAK4 (U+1201B)
258	827	Q87555052	𒀜  CUNEIFORM SIGN AD (U+1201C)
127	73	Q87555054	𒀝  CUNEIFORM SIGN AK (U+1201D)
129	72	Q87555057	𒀞  CUNEIFORM SIGN AK TIMES ERIN2 (U+1201E)
128		Q87555059	𒀟  CUNEIFORM SIGN AK TIMES SHITA PLUS GISH (U+1201F)
474	773	Q87555061	𒀠  CUNEIFORM SIGN AL (U+12020)
478		Q87555064	𒀡  CUNEIFORM SIGN AL TIMES AL (U+12021)
480		Q87555066	𒀢  CUNEIFORM SIGN AL TIMES DIM2 (U+12022)
477		Q87555068	𒀣  CUNEIFORM SIGN AL TIMES GISH (U+12023)
482		Q87555070	𒀤  CUNEIFORM SIGN AL TIMES HA (U+12024)
475		Q87555072	𒀥  CUNEIFORM SIGN AL TIMES KAD3 (U+12025)
481		Q87555074	𒀦  CUNEIFORM SIGN AL TIMES KI (U+12026)
479	774	Q87555076	𒀧  CUNEIFORM SIGN AL TIMES SHE (U+12027)
476		Q87555078	𒀨  CUNEIFORM SIGN AL TIMES USH (U+12028)
573	291	Q87555079	𒀩  CUNEIFORM SIGN ALAN (U+12029)
635		Q87555081	𒀪  CUNEIFORM SIGN ALEPH (U+1202A)
695	571	Q87555083	𒀫  CUNEIFORM SIGN AMAR (U+1202B)
696	572	Q87555086	𒀬  CUNEIFORM SIGN AMAR TIMES SHE (U+1202C)
10	22	Q87555087	𒀭  CUNEIFORM SIGN AN (U+1202D)
246	23	Q87555089	𒀮  CUNEIFORM SIGN AN OVER AN (U+1202E)
247	25	Q87555091	𒀯  CUNEIFORM SIGN AN THREE TIMES (U+1202F)
293		Q87555094	𒀰  CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA (U+12030)
293		Q87555096	𒀱  CUNEIFORM SIGN AN PLUS NAGA SQUARED (U+12031)
353	460	Q87555099	𒀲  CUNEIFORM SIGN ANSHE (U+12032)
90	71	Q87555101	𒀳  CUNEIFORM SIGN APIN (U+12033)
18	90	Q87555102	𒀴  CUNEIFORM SIGN ARAD (U+12034)
19	65	Q87555104	𒀵  CUNEIFORM SIGN ARAD TIMES KUR (U+12035)
859+807		Q87555106	𒀶  CUNEIFORM SIGN ARKAB (U+12036)
		Q87555108	𒀷  CUNEIFORM SIGN ASAL2 (U+12037)
1		Q87555110	𒀸  CUNEIFORM SIGN ASH (U+12038)
575		Q87555112	𒀹  CUNEIFORM SIGN ASH ZIDA TENU (U+12039)
647		Q87555113	𒀺  CUNEIFORM SIGN ASH KABA TENU (U+1203A)
		Q87555116	𒀻  CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP (U+1203B)
505		Q87555117	𒀼  CUNEIFORM SIGN ASH OVER ASH OVER ASH (U+1203C)
649		Q87555120	𒀽  CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH (U+1203D)
548	285	Q87555122	𒀾  CUNEIFORM SIGN ASH2 (U+1203E)
173	79	Q87555124	𒀿  CUNEIFORM SIGN ASHGAB (U+1203F)
