Q87555248	o0000152
Q87555250	o0000153
Q87555252	o0000153
Q87555253	o0000154
Q87555255	o0000155
Q87555257	o0000156
Q87555258	o0000157 o0000190
Q87555260	o0000158
Q87555262	o0000160
Q87555264	o0000161 o0000162
Q87555265	o0000162
Q87555267	o0000164 o0000578
Q87555269	o0000165 o0000202 o0000289 o0027185
Q87555271	o0000166
Q87555273	o0001123
Q87555274	o0000166 o0001040
Q87555276	o0000180
Q87555281	o0001303
Q87555282	o0001316
Q87555284	o0001322
Q87555286	o0001330
Q87555288	o0000180
Q87555289	o0000167
Q87555291	o0000168 o0000559
Q87555293	o0000170
Q87555295	o0000173
Q87555296	o0001079
Q87555298	o0001078
Q87555300	o0001083
Q87555302	o0001048
Q87555305	o0000173
Q87555307	o0000646
Q87555308	o0000174
Q87555310	o0000175
Q87555313	o0000178
Q87555314	o0000177
Q87555316	o0001102
Q87555319	o0001099
Q87555321	o0001100
Q87555323	o0000177 o0001101 o0001866
Q87555324	o0001104
Q87555331	o0001109
Q87555334	o0001110
Q87555336	o0001111
Q87555338	o0000644
Q87555340	o0001112
Q87555342	o0001114 o0001868
Q87555344	o0001113
Q87555345	o0001115
Q87555347	o0001116
Q87555348	o0001119
Q87555350	o0001118
Q87555352	o0000187
Q87555354	o0000188
Q87555355	o0000206
Q87555359	o0000206
Q87555360	o0001249
Q87555364	o0001286
Q87555365	o0001287
Q87555367	o0001251
Q87555370	o0001288
Q87555371	o0000206
Q87555374	o0000206
Q87555377	o0001253
Q87555379	o0001292
Q87555380	o0001295
Q87555382	o0001294
Q87555385	o0001296
Q87555386	o0000206
Q87555388	o0001256
Q87555390	o0001299
Q87555393	o0001300
Q87555395	o0001302
Q87555397	o0001303
Q87555399	o0001305
Q87555401	o0001306
Q87555403	o0000206
Q87555404	o0001260
Q87555406	o0001263
Q87555408	o0000206
Q87555410	o0001264
Q87555412	o0001265
Q87555414	o0001308
Q87555415	o0001309
Q87555417	o0001266
Q87555419	o0001310
Q87555422	o0001311
Q87555423	o0001325
Q87555425	o0001267
Q87555427	o0001269
Q87555428	o0000206
Q87555430	o0001271 o0001299
Q87555432	o0001316
Q87555433	o0001320
Q87555435	o0001319
Q87555437	o0001321
Q87555439	o0001322
Q87555441	o0001323
Q87555442	o0001330
Q87555444	o0001276
Q87555446	o0001331
Q87555447	o0001324
Q87555450	o0001325
Q87555452	o0001327
Q87555454	o0001326
Q87555456	o0000206
Q87555458	o0000206
Q87555460	o0000190
Q87555462	o0000157
Q87555464	o0000193
Q87555465	o0001183
Q87555467	o0000194
Q87555470	o0001201
Q87555472	o0000195 o0000234 o0000426
Q87555473	o0000196
Q87555475	o0000197
Q87555477	o0000199
Q87555480	o0000201
Q87555481	o0001217
Q87555483	o0001216 o0001363
Q87555485	o0000202
Q87555487	o0000204
Q87555489	o0000205
Q87555491	o0000208
Q87555493	o0001333
Q87555494	o0000210
Q87555496	o0001358
Q87555499	o0000210
Q87555501	o0001335
Q87555503	o0000219
Q87555504	o0001408 o0001409
Q87555508	o0001408
Q87555510	o0000211 o0000307
Q87555512	o0000213
Q87555516	o0000215
Q87555518	o0001349 o0001352
Q87555520	o0001351
Q87555522	o0001352
Q87555524	o0001350
Q87555526	o0000101 o0000215
Q87555528	o0000216
Q87555530	o0000217
Q87555533	o0001363
Q87555535	o0001406
Q87555538	o0000217
Q87555540	o0000218
Q87555542	o0000221
Q87555544	o0001412 o0027205
Q87555547	o0000230
Q87555549	o0001431
Q87555551	o0000230
Q87555552	o0001433
Q87555554	o0000230
Q87555556	o0000231
Q87555559	o0000222
Q87555560	o0000592 o0001419
Q87555563	o0001422
Q87555565	o0001414
Q87555566	o0000224
Q87555568	o0000225
Q87555571	o0001424
Q87555573	o0000226
Q87555575	o0000229
Q87555577	o0000227 o0001333
Q87555579	o0000228 o0000270
Q87555581	o0000232
Q87555583	o0000195 o0000234
Q87555585	o0000233
Q87555589	o0000237
Q87555592	o0001447
Q87555594	o0001452
Q87555597	o0001453
Q87555599	o0001454
Q87555601	o0001455
Q87555602	o0001456
Q87555604	o0001462
Q87555606	o0001464
Q87555609	o0028114
Q87555612	o0000239
Q87555613	o0000240
Q87555616	o0001477
Q87555618	o0000240
Q87555620	o0000240 o0001475
Q87555622	o0000240
Q87555624	o0001477
Q87555626	o0000241
Q87555628	o0000242
Q87555630	o0001478
Q87555632	o0000244
Q87555633	o0000114
Q87555636	o0001482 o0001884
Q87555638	o0000114
Q87555640	o0000246
Q87555641	o0000247
Q87555643	o0001487
Q87555645	o0001510
Q87555648	o0001483
Q87555649	o0000248
Q87555651	o0000249
Q87555654	o0001524
Q87555655	o0000252
Q87555658	o0000254
Q87555660	o0001549
Q87555663	o0000254 o0001529
Q87555664	o0000254
Q87555667	o0000649
Q87555669	o0000068 o0025651
Q87555671	o0000256
Q87555672	o0000257
Q87555674	o0000259
Q87555676	o0000260
Q87555678	o0001611
