LAK245	U+1227E
LAK246	U+F1037
LAK247	U+F1038
LAK248	U+121A7
LAK249	U+1210D
LAK250	U+F3002
LAK251	U+1210C
LAK252	U+F103D
LAK253	U+12032
LAK254	U+F103E
LAK255	U+1210F
LAK256	U+F103F
LAK257	U+1228A
LAK258	U+F3003
LAK259	U+1228C
LAK260	U+F1042
LAK261	U+1228D
LAK262	U+F1043
LAK263	U+F1045
LAK264	U+12070
LAK265	U+124E8
LAK266	U+124E9
LAK267	U+1202B
LAK268	U+1202C
LAK269	U+122E1
LAK270	U+1224F
LAK271	U+1224F,1
LAK272	U+12250
LAK273	U+1219C
LAK274	U+F1046
LAK275	x1219C.x120B5
LAK276	U+12112
LAK277	U+124CB
LAK278	U+124AC
LAK279,1	U+121FA
LAK279,2	U+121FA,1
LAK280,1	U+1209F
LAK280,2	U+1209F,1
LAK281	U+12292
LAK282	U+122FA
LAK283	U+12360
LAK284	U+12312
LAK285	U+120F0,3
LAK286	U+F1049
LAK287	U+F104A
LAK288	x120F0.x122FA.x122DB
LAK289	U+12322
LAK290,1	U+12040
LAK290,2	U+12040,1
LAK291,1	U+1236A
LAK291,2	U+1236A,1
LAK292,1	x1236A.x1200A
LAK292,2	U+F3000
LAK293,1	U+122E2
LAK293,2	U+122E2,1
LAK294	x122E2.x121B3.x12292
LAK295	U+122C4
LAK296	U+12036
LAK297	U+12036,1
LAK298	U+F104B
LAK299	U+1230C
LAK300	U+1230C,1
LAK301	U+121EF
LAK302	U+121EF,1
LAK303	U+121ED
LAK304	U+121B5
LAK305	U+12314
LAK306	U+121EC
LAK307	U+12295
LAK308	U+12299
LAK309	U+1252D
LAK310	U+12539
LAK311	U+1252E
LAK312	U+1229A
LAK313	U+F104E
LAK314	U+12297
LAK315	U+F104F
LAK316	x1230B.x12295
LAK317,1	U+122A8
LAK317,2	U+122A8,1
LAK318	U+12157
LAK319	U+12187
LAK320	U+12168
LAK321	U+12188
LAK322	U+12181
LAK323	U+12183
LAK324	U+12164
LAK325	U+1217F
LAK326	U+1216E
LAK327	U+F1050
LAK328	U+124D2
LAK329	x12313.x12157.x12038
LAK330	U+12165
LAK331	U+12158
LAK332	U+F1051
LAK333	U+1217E
LAK334	U+12174
LAK335	U+1218C
LAK336	U+F1052
LAK337	U+121FD
LAK338	U+1251A
LAK339	U+12519
LAK340	U+F1053
LAK341	U+1251D
LAK342	U+1251E
LAK343	U+124EA
LAK344	U+121FF
LAK345	U+12389
LAK346	U+1203F
LAK347	U+124EB
LAK348	U+124EC
LAK349	U+F1054
LAK350	U+1235C
LAK351	U+12129
LAK352	U+1212A
LAK353	U+1212B
LAK354	U+124CE
LAK355	U+F1056
LAK356	x122D9.x1202D
LAK357	x122D9.x1202D.x12132
LAK358	U+12537
LAK359	U+1212D
LAK360	x1212D.x12000
LAK361	U+1212E
LAK362	U+124CF
LAK363	U+F1057
LAK364	U+1226D
LAK365	U+F1058
LAK366	U+12130
LAK367	U+12134
LAK368	x12134.x12228
LAK369	U+F105A
LAK370,1	U+1212F
LAK370,2	U+1212F,1
LAK371	x1212F.x1212F
LAK372	U+12135
LAK373	U+122FC
LAK374	x122FC.x12228
LAK375a	x122FC.x12000
LAK375b	U+F3001
LAK376	U+1214E
LAK377	U+1224E
LAK378	U+1214F
LAK379a,1	U+12313
LAK379a,2	U+12313,1
LAK379b	U+12313,2
LAK380	U+F105B
LAK381	U+1231B
LAK382	U+122FD
LAK383	U+124ED
LAK384	U+124EE
LAK385	U+122D9
LAK386	U+F105C
LAK387	U+F105D
LAK388	U+F105E
LAK389	U+12122
LAK390	U+124EF
LAK391	U+1222A
LAK392	U+12082
LAK393	U+1251F
LAK394	U+1237C
LAK395	U+F105F
LAK396	U+12536
LAK397	x122D9.x1208D
LAK398	U+1227B
LAK399	U+F1060
LAK400	U+122DD
LAK401	x1230B.x12313
LAK402	x1230B.x12313.x121A4
LAK403	U+12016
LAK404	x12016.x122AE
LAK405	U+F1061
LAK406	U+1201B
LAK407	U+F1062
LAK408	U+F1063
LAK409	U+F1064
LAK410	U+F1065
LAK411	x1230B.x122AD
LAK412	x1230B.x120B5
LAK413	x1230B.x12157
LAK414	x1230B.x1201C
LAK415	U+F1066
LAK416	U+F1067
LAK417,1	U+1222B
LAK417,2	U+1222B,1
LAK418	U+1230F
LAK419	U+1230E
LAK420	U+F3004
LAK421a	U+12146
LAK421b	U+12146,1
LAK422	U+12148
LAK423	x12146.x12292
LAK424	x12146.x1209F
LAK425	x12146.x12313
LAK426	x12146.x120F8
LAK427	x12146.x1207E
LAK428	x12146.x12328
LAK429	x12146.x121A4
LAK430	x12146.x12260
LAK431	U+F1069
LAK432	U+12147
LAK433	U+F106A
LAK434	x12146.x120A0
LAK435	x12146.x120FB
LAK436	U+F2003
LAK437	U+1214A,1
LAK438,1	U+121AC
LAK438,2	U+121AC,1
LAK439	U+12072
LAK440	U+121A0
LAK441	U+124F0
LAK442	U+121F1
LAK443,1	U+122AE
LAK443,2	U+122AE,1
LAK443,3	U+122AE,2
LAK443,4	U+122AE,3
LAK444	U+F106B
LAK445	U+F106C
LAK446	U+F106D
LAK447,1	U+1227F
LAK447,2	U+1227F,1
LAK448	U+F2004
LAK449	x1226D.x12016
LAK450	U+124F7
LAK451	U+1226E
LAK452	U+124F6
LAK453	U+124F5
LAK454	U+124F4
LAK455	U+124F3
LAK456	U+F106F
LAK457	U+124F8
