LAK001	o0000106	1414	AŠ	U+12038	
LAK002	o0221914	1446	AŠ@c	U+12550	
LAK003	o0000349	10077	LAK3	U+124D5	
LAK004	o0000245	7299	IDIM	U+12142	
LAK005	o0000236	6580	HAL	U+1212C	
LAK006	o0000213	5738	GIR₂	U+12108	
LAK007	o0000214	5740	GIR₂@g	U+12109	
LAK008	o0000099	1160	AN	U+1202D	
LAK009	o0000796	1217	|AN&AN|	U+1202E	
LAK010	o0000642	1161	|3×AN|	U+1202F	
LAK011	o0000311	10086	LAK11		
LAK012	o0000291	8728	KUL	U+121B0	
LAK013	o0000313	10089	LAK13		
LAK014	o0000457	11935	MU	U+1222C	
LAK015	o0002016	11940	|MU&MU|	U+1222D	
LAK016	o0000114	1640	BAD	U+12041	
LAK017	o0000555	19737	TIL	U+12300	
LAK018	o0000553	19687	TI	U+122FE	
LAK019	o0000118	1693	BAL	U+12044	
LAK020	o0000321	10097	LAK20		
LAK021	o0000322	10099	LAK21	U+124D6	
LAK022	o0000469	13160	NA	U+1223E	
LAK023	o0002840	18997	ŠIR	U+122D3	
LAK024b	o0000492	13793	NU₁₁@90	U+12393	
LAK024	o0000491	13779	NU₁₁	U+12262	
LAK025	o0000338	10105	LAK25	U+124D7	
LAK026	o0000293	8746	KUN	U+121B2	
LAK027	o0000344	10108	LAK27		
LAK028	o0000345	10110	LAK28		
LAK029	o0000273	8102	KAM₄	U+1219B	
LAK030	o0000350	10113	LAK30	U+124D8	
LAK031	o0000581	22249	URI₃	U+12336	
LAK032	o0002834	18832	ŠEŠ	U+122C0	
LAK033	o0002740	18837	|ŠEŠ.KI|	x122C0.x121A0	
LAK034	o0000444	11558	MA	U+12220	
LAK035	o0000445	11561	MA@g	U+12222	
LAK036	o0000487	13764	NU	U+12261	
LAK037	o0000362	10121	LAK37		
LAK038	o0000499	14072	PAN	U+1227C	
LAK039	o0002848	19202	ŠUBUR	U+122DA	
LAK040	o0000158	3244	DUN	U+12084	
LAK041	o0000119	1701	BALAG	U+12046	
LAK042	o0000449	11668	MAŠ	U+12226	
LAK043	o0000451	11685	MAŠ₂	U+12227	
LAK044	o0027568	11688	MAŠ₂@g		
